"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000218" "Bacteria" "Bacteroidetes" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" "Unclassified" "Unclassified"
"Otu000223" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "alfIII" "alfIII_unclassified" "Unclassified"
"Otu000225" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "MWH-CFBk5" "Unclassified" "Unclassified"
"Otu000226" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Methylophilales" "betIV" "betIV_unclassified" "Unclassified"
"Otu000227" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatimonas" "Unclassified"
"Otu000229" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Hyphomonadaceae" "Hyphomonas" "Unclassified"
"Otu000240" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Methylococcales" "pLW-20" "Unclassified" "Unclassified"
"Otu000244" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Nitrosomonadales" "Gallionellaceae" "Candidatus_Nitrotoga" "Unclassified"
"Otu000246" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Oligoflexales" "Oligoflexaceae" "Unclassified" "Unclassified"
"Otu000247" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Gammaproteobacteria_unclassified" "Gammaproteobacteria_unclassified" "Unclassified" "Unclassified"
"Otu000248" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "Cytophagaceae" "Emticicia" "Unclassified"
"Otu000249" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "acIV" "acIV-B" "Iluma-B1"
"Otu000255" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Legionellales" "Coxiellaceae" "Rickettsiella" "Unclassified"
"Otu000261" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Oceanospirillales" "Oceanospirillaceae" "Pseudospirillum" "Unclassified"
"Otu000262" "Bacteria" "Chloroflexi" "Chloroflexia" "Chloroflexales" "Roseiflexaceae" "Roseiflexus" "Unclassified"
"Otu000266" "Bacteria" "Planctomycetes" "Planctomycetacia" "Planctomycetales" "Planctomycetaceae" "Pir4_lineage" "Unclassified"
"Otu000267" "Bacteria" "Omnitrophica" "NPL-UPA2" "NPL-UPA2_unclassified" "NPL-UPA2_unclassified" "Unclassified" "Unclassified"
"Otu000271" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "alfIV" "alfIV-B" "M-L-85"
"Otu000274" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Erythrobacteraceae" "Porphyrobacter" "Unclassified"
