"Otu000001" "Otu000005" "Otu000009" "Otu000010" "Otu000012" "Otu000023" "Otu000050" "Otu000071" "Otu000075" "Otu000077" "Otu000093" "Otu000227" "Otu000267" "Otu000304" "Otu000377" "Otu000387" "Otu000663" "Otu000763" "Otu000931" "Otu001021" "Otu001130" "Otu001148" "Otu001194" "Otu001269" "Otu001311" "Otu001526" "Otu001556" "Otu001693" "Otu001700" "Otu001784" "Otu002251" "Otu002674" "Otu005522" "Otu005973" "Otu007916" "Otu008727"
"Z14011F" 0.0495841995841996 0.00509355509355509 0.295738045738046 0.283887733887734 0.0645530145530146 0.00696465696465697 0.035966735966736 0.0165280665280665 0.0181912681912682 0.00124740124740125 0.0357588357588358 0.000623700623700624 0.00852390852390852 0.0801455301455301 0.0132016632016632 0.0139293139293139 0.0197505197505198 0 0 0.00207900207900208 0 0.00301455301455301 0.00758835758835759 0.00228690228690229 0.0100831600831601 0.00675675675675676 0.000103950103950104 0.0126819126819127 0.000415800415800416 0.00353430353430353 0.000207900207900208 0.000415800415800416 0.000831600831600832 0.000103950103950104 0.000207900207900208 0
"Z14012F" 0.214968814968815 0.0162162162162162 0.27962577962578 0.276403326403326 0.129417879417879 0.0177754677754678 0.0213097713097713 0.00166320166320166 0.00914760914760915 0.00634095634095634 0.00727650727650728 0 0.000415800415800416 0.000207900207900208 0.0164241164241164 0.00145530145530146 0.00051975051975052 0 0 0 0 0 0 0 0.000207900207900208 0.00051975051975052 0.000103950103950104 0 0 0 0 0 0 0 0 0
"Z14013F" 0.151247401247401 0.0505197505197505 0.224636174636175 0.212266112266112 0.200935550935551 0.0205821205821206 0.103326403326403 0.00166320166320166 0.00509355509355509 0.00654885654885655 0.0126819126819127 0.00239085239085239 0.000207900207900208 0 0.00634095634095634 0.000831600831600832 0.000103950103950104 0 0 0 0 0 0 0 0 0.000207900207900208 0.000311850311850312 0.000103950103950104 0 0 0 0 0 0 0 0
"Z14014F" 0.167255717255717 0.0278586278586279 0.201975051975052 0.324740124740125 0.162785862785863 0.0294178794178794 0.064968814968815 0.00228690228690229 0.000831600831600832 0.00374220374220374 0.00758835758835759 0.000311850311850312 0 0.00124740124740125 0.00280665280665281 0.00114345114345114 0 0.000207900207900208 0 0 0 0 0 0 0 0.000103950103950104 0.000623700623700624 0 0 0 0.000103950103950104 0 0 0 0 0
"Z14016F" 0.20987525987526 0.0366943866943867 0.231185031185031 0.28004158004158 0.138045738045738 0.0172557172557173 0.0565488565488566 0.00176715176715177 0.00405405405405405 0.00696465696465697 0.00956340956340956 0.00114345114345114 0.000103950103950104 0 0.00457380457380457 0.00135135135135135 0.000103950103950104 0 0 0 0 0 0 0 0 0.00051975051975052 0.000207900207900208 0 0 0 0 0 0 0 0 0
"Z14017F" 0.162058212058212 0.0986486486486487 0.20997920997921 0.265592515592516 0.14022869022869 0.0214137214137214 0.0248440748440748 0.0438669438669439 0.00343035343035343 0.0143451143451143 0.0116424116424116 0.000727650727650728 0.000103950103950104 0.000103950103950104 0.000727650727650728 0.000727650727650728 0.000103950103950104 0.000207900207900208 0.000103950103950104 0 0.000103950103950104 0 0.000103950103950104 0 0 0.000727650727650728 0.000103950103950104 0.000103950103950104 0 0 0 0 0 0 0 0
"Z14018F" 0.117879417879418 0.176819126819127 0.207172557172557 0.220686070686071 0.144074844074844 0.0123700623700624 0.035031185031185 0.0393970893970894 0.0027027027027027 0.00686070686070686 0.03004158004158 0.00155925155925156 0.00114345114345114 0.000103950103950104 0.00239085239085239 0.00051975051975052 0.000207900207900208 0.000311850311850312 0.000623700623700624 0 0 0 0 0 0 0.000103950103950104 0 0 0 0 0 0 0 0 0 0
"Z14019F" 0.103638253638254 0.00405405405405405 0.34043659043659 0.356652806652807 0.0782744282744283 0.00478170478170478 0.027027027027027 0.00550935550935551 0.0128898128898129 0.000207900207900208 0.0138253638253638 0.00114345114345114 0.00103950103950104 0.00301455301455301 0.00821205821205821 0.00602910602910603 0.0159043659043659 0 0 0.00051975051975052 0 0.000103950103950104 0 0.000415800415800416 0.00977130977130977 0.00291060291060291 0.00135135135135135 0.000935550935550936 0 0.000831600831600832 0 0 0.000311850311850312 0.000103950103950104 0.000103950103950104 0
"Z14020F" 0.126299376299376 0.124740124740125 0.257172557172557 0.221621621621622 0.154885654885655 0.0134095634095634 0.0197505197505198 0.0408523908523909 0.00114345114345114 0.00582120582120582 0.0251559251559252 0.00187110187110187 0.00103950103950104 0.000623700623700624 0.00218295218295218 0.00103950103950104 0.000103950103950104 0.000415800415800416 0.000623700623700624 0 0 0 0 0 0 0.000103950103950104 0.000935550935550936 0 0 0.000207900207900208 0 0 0 0 0 0
"Z14021F" 0.145426195426195 0.0459459459459459 0.179417879417879 0.278378378378378 0.200519750519751 0.0174636174636175 0.0644490644490645 0.000103950103950104 0.000623700623700624 0.0386694386694387 0.0203742203742204 0.000727650727650728 0.00103950103950104 0.000103950103950104 0.00436590436590437 0.00114345114345114 0.000103950103950104 0.000103950103950104 0 0 0 0 0 0 0 0 0.000935550935550936 0 0 0.000103950103950104 0 0 0 0 0 0
"Z14022F" 0.105301455301455 0.0406444906444906 0.196985446985447 0.304989604989605 0.182432432432432 0.0192307692307692 0.0798336798336798 0 0.00176715176715177 0.0404365904365904 0.0201663201663202 0.000415800415800416 0.00114345114345114 0.000207900207900208 0.00436590436590437 0.000935550935550936 0 0 0 0 0.000103950103950104 0 0 0 0 0.000727650727650728 0.000103950103950104 0 0 0.000207900207900208 0 0 0 0 0 0
