"Otu000001" "Otu000007" "Otu000009" "Otu000010" "Otu000012" "Otu000017" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000025" "Otu000030" "Otu000041" "Otu000046" "Otu000048" "Otu000056" "Otu000058" "Otu000070" "Otu000075" "Otu000077" "Otu000082" "Otu000083" "Otu000086" "Otu000087" "Otu000088" "Otu000093" "Otu000106" "Otu000110" "Otu000117" "Otu000136" "Otu000137" "Otu000142" "Otu000154" "Otu000155" "Otu000161" "Otu000162" "Otu000176" "Otu000184" "Otu000210" "Otu000215" "Otu000227" "Otu000231" "Otu000255" "Otu000256" "Otu000262" "Otu000267" "Otu000269" "Otu000273" "Otu000282" "Otu000293" "Otu000311" "Otu000322" "Otu000328" "Otu000379" "Otu000385" "Otu000387" "Otu000390" "Otu000436" "Otu000441" "Otu000467" "Otu000509" "Otu000547" "Otu000646" "Otu000666" "Otu000674" "Otu000745" "Otu000755" "Otu000775" "Otu000779" "Otu000908" "Otu000977" "Otu001006" "Otu001028" "Otu001118" "Otu001219" "Otu001345" "Otu001451" "Otu001549" "Otu001663" "Otu001677" "Otu002142" "Otu002392" "Otu002522" "Otu003066" "Otu003078" "Otu003218" "Otu003936" "Otu004969" "Otu005236" "Otu007520"
"110S2F115" 0.416006739679865 0.113395113732098 0.0251053074978939 0.0106149957877001 0.0230834035383319 0.0636899747262005 0.0490311710193766 0.0104465037910699 0.0160067396798652 0.00067396798652064 0.013647851727043 0.0325189553496209 0.00488626790227464 0.0229149115417018 0.00101095197978096 0.0008424599831508 0 0.0764953664700927 0.00707666385846672 0.0316764953664701 0 0.00151642796967144 0.00387531592249368 0.00151642796967144 0.00235888795282224 0.0202190395956192 0.00219039595619208 0.0008424599831508 0.00202190395956192 0.00151642796967144 0.00471777590564448 0.00016849199663016 0.0067396798652064 0 0 0.00303285593934288 0.00117944397641112 0 0.00202190395956192 0.0119629317607414 0 0.00235888795282224 0 0.00235888795282224 0.00016849199663016 0 0 0.00134793597304128 0 0 0 0 0 0 0.00050547598989048 0 0.0025273799494524 0.0016849199663016 0.0008424599831508 0 0 0 0 0.00101095197978096 0 0 0.0016849199663016 0 0 0.00033698399326032 0 0 0.00016849199663016 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"110S2F415" 0.267902274641954 0.101263689974726 0.0365627632687447 0.0235888795282224 0.0286436394271272 0.0911541701769166 0.0439764111204718 0.0235888795282224 0.0121314237573715 0.00050547598989048 0.00994102780117944 0.00404380791912384 0.00016849199663016 0.04212299915754 0.00050547598989048 0.0128053917438922 0 0.00134793597304128 0.0219039595619208 0.0129738837405223 0 0.0008424599831508 0.00539174389216512 0.00151642796967144 0.00404380791912384 0.00791912384161752 0.00016849199663016 0.196124684077506 0 0.00134793597304128 0.0025273799494524 0.00050547598989048 0.00825610783487784 0 0 0.0008424599831508 0.00724515585509688 0 0.0008424599831508 0.00134793597304128 0.00202190395956192 0.0101095197978096 0 0.00269587194608256 0.0008424599831508 0 0.00033698399326032 0.00033698399326032 0 0.00016849199663016 0 0 0 0 0.00016849199663016 0 0.00016849199663016 0.00016849199663016 0.00101095197978096 0 0.00016849199663016 0 0 0 0.00101095197978096 0 0 0.00185341196293176 0 0 0.00033698399326032 0 0 0 0.0008424599831508 0 0 0 0 0.00050547598989048 0 0 0.00303285593934288 0 0 0 0 0 0.00016849199663016 0
"110S2F515" 0.355181128896377 0.113900589721988 0.0475147430497051 0.038921651221567 0.0321819713563606 0.102274641954507 0.076832350463353 0.0392586352148273 0.00353833192923336 0.00033698399326032 0.0151642796967144 0.00320134793597304 0.00067396798652064 0.0175231676495366 0.00033698399326032 0.012636899747262 0 0.0008424599831508 0.0240943555181129 0.00657118786857624 0.00016849199663016 0.00016849199663016 0.00454928390901432 0.00556023588879528 0.00690817186183656 0.00522325189553496 0.00050547598989048 0.0407750631844987 0 0.0025273799494524 0.00724515585509688 0.00050547598989048 0.00775063184498736 0 0 0.00117944397641112 0.00539174389216512 0 0.00016849199663016 0.00219039595619208 0.0008424599831508 0.00825610783487784 0 0.00370682392586352 0.00050547598989048 0 0 0.00101095197978096 0 0 0 0 0 0 0 0 0.00050547598989048 0 0.0008424599831508 0 0.00033698399326032 0 0 0 0.00016849199663016 0 0 0.00117944397641112 0 0 0 0 0 0 0.00016849199663016 0 0.00016849199663016 0 0 0 0 0 0.00050547598989048 0 0 0 0 0 0 0
"110S2F715" 0.307834877843302 0.131592249368155 0.0283066554338669 0.00185341196293176 0.0119629317607414 0.112215669755687 0.0148272957034541 0.008424599831508 0.0124684077506318 0.00825610783487784 0.025273799494524 0.0529064869418703 0.00101095197978096 0.00286436394271272 0.00353833192923336 0 0 0.00286436394271272 0.004212299915754 0.0613310867733783 0 0.00219039595619208 0.0131423757371525 0.00067396798652064 0.0008424599831508 0.0712721145745577 0.0166807076663858 0.00050547598989048 0.00016849199663016 0.00067396798652064 0.0106149957877001 0.00454928390901432 0.0475147430497051 0 0 0 0.00235888795282224 0.00016849199663016 0.00808761583824768 0.0050547598989048 0.00033698399326032 0.00909856781802864 0 0.00623420387531592 0 0 0 0 0 0 0.00016849199663016 0 0 0 0 0 0.00117944397641112 0.00033698399326032 0.0025273799494524 0 0 0 0 0 0.00033698399326032 0 0.00286436394271272 0 0 0 0.00016849199663016 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00050547598989048
"110S2F915" 0.301432181971356 0.0859309182813816 0.0377422072451559 0.00404380791912384 0.0427969671440607 0.0395956192080876 0 0.0025273799494524 0.0225779275484414 0 0.0109519797809604 0.060994102780118 0.02106149957877 0.00404380791912384 0.0067396798652064 0 0 0.11609098567818 0.00067396798652064 0.0790227464195451 0 0.0067396798652064 0.00724515585509688 0 0 0.0729570345408593 0.00303285593934288 0.00016849199663016 0.00033698399326032 0.00623420387531592 0.00690817186183656 0.00016849199663016 0.0185341196293176 0 0 0.00185341196293176 0.00101095197978096 0 0.0025273799494524 0.004212299915754 0 0.00050547598989048 0 0.00640269587194608 0.00050547598989048 0 0.00033698399326032 0 0 0 0.00033698399326032 0.00016849199663016 0 0 0.00488626790227464 0 0.00050547598989048 0.00539174389216512 0.00977253580454928 0 0 0 0 0 0 0 0.00202190395956192 0 0 0 0 0 0 0 0 0 0 0.00101095197978096 0 0 0 0 0 0 0 0 0 0 0 0
"Fa13.BD.MM110.DN.1" 0.2 0.108845829823083 0.0313395113732098 0.0313395113732098 0.0107834877843302 0.0407750631844987 0.00893007582139848 0.0427969671440607 0.055770850884583 0.0016849199663016 0.0195450716090986 0.00370682392586352 0.00235888795282224 0.016849199663016 0.00471777590564448 0.212636899747262 0 0 0.004212299915754 0.00134793597304128 0.00286436394271272 0.0112889637742207 0.00454928390901432 0.0033698399326032 0.0111204717775906 0.00404380791912384 0.0025273799494524 0.00185341196293176 0 0.020050547598989 0.00943555181128896 0.00185341196293176 0.0075821398483572 0 0 0.00370682392586352 0.00286436394271272 0 0.00404380791912384 0.00016849199663016 0.00151642796967144 0.0131423757371525 0 0.0227464195450716 0.00269587194608256 0 0.00151642796967144 0.00943555181128896 0 0.0326874473462511 0 0.0008424599831508 0 0.00134793597304128 0.00370682392586352 0 0.00016849199663016 0.0025273799494524 0.0025273799494524 0.00134793597304128 0.0016849199663016 0.00067396798652064 0 0 0 0 0 0.0033698399326032 0.00050547598989048 0 0.00219039595619208 0.00185341196293176 0 0 0 0 0.00016849199663016 0.0008424599831508 0 0.00151642796967144 0.00050547598989048 0 0.00101095197978096 0 0.00050547598989048 0 0 0 0 0
"Fa13.BD.MM110.SD.1" 0.334288121314238 0.192923336141533 0.0655433866891323 0.0139848357203033 0.00235888795282224 0.102274641954507 0.0025273799494524 0.0119629317607414 0.113058129738837 0 0.0306655433866891 0.0212299915754002 0.00320134793597304 0.0129738837405223 0.00775063184498736 0 0 0.0227464195450716 0.00151642796967144 0.00572872788542544 0 0.00488626790227464 0.0111204717775906 0.00016849199663016 0.00303285593934288 0.00219039595619208 0.00387531592249368 0.00016849199663016 0.00033698399326032 0.00185341196293176 0.00219039595619208 0.00067396798652064 0.00286436394271272 0 0 0.00067396798652064 0.00050547598989048 0.00117944397641112 0.00404380791912384 0.00016849199663016 0.00067396798652064 0.00050547598989048 0 0.0008424599831508 0.00050547598989048 0 0.00539174389216512 0 0 0 0 0.00016849199663016 0 0 0.00033698399326032 0 0.00117944397641112 0.00286436394271272 0.00117944397641112 0 0 0 0.00033698399326032 0 0.00067396798652064 0 0.00033698399326032 0.00016849199663016 0 0.00016849199663016 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Fa13.BD.MM110.SN.1" 0.295871946082561 0.206065711878686 0.0830665543386689 0.0256107834877843 0.00235888795282224 0.107497893850042 0.0016849199663016 0.0148272957034541 0.0903117101937658 0 0.0372367312552654 0.0303285593934288 0.00134793597304128 0.0121314237573715 0.00640269587194608 0 0 0.0188711036225779 0.00033698399326032 0.00539174389216512 0 0.0067396798652064 0.0141533277169334 0 0.00269587194608256 0.00454928390901432 0.00320134793597304 0 0 0.00117944397641112 0.00134793597304128 0.00067396798652064 0.00134793597304128 0 0 0.00219039595619208 0.00117944397641112 0.00067396798652064 0.0067396798652064 0.00033698399326032 0.00016849199663016 0.00033698399326032 0 0.00269587194608256 0.00117944397641112 0 0.00438079191238416 0 0 0 0 0.00016849199663016 0 0 0 0 0.00117944397641112 0.0008424599831508 0.00033698399326032 0 0 0 0.00016849199663016 0 0.00067396798652064 0 0.00033698399326032 0 0 0.00016849199663016 0.00016849199663016 0 0 0 0.00033698399326032 0 0 0 0 0 0 0 0 0 0 0 0.00050547598989048 0 0 0
"Fa13.BD.MM15.DN.1" 0.343555181128896 0.149957877000842 0.072620050547599 0.0257792754844145 0.00404380791912384 0.104465037910699 0.0426284751474305 0.0399326032013479 0.0591406908171862 0.00101095197978096 0.0355518112889638 0.0129738837405223 0.0058972198820556 0.0173546756529065 0.0016849199663016 0.00050547598989048 0 0.00522325189553496 0.00707666385846672 0.0016849199663016 0.00067396798652064 0.00539174389216512 0.00977253580454928 0.00050547598989048 0.00623420387531592 0.00235888795282224 0.00539174389216512 0.00033698399326032 0 0.00235888795282224 0.00235888795282224 0.00202190395956192 0.00269587194608256 0 0 0.00050547598989048 0.0008424599831508 0.00016849199663016 0.00606571187868576 0.0008424599831508 0 0.00016849199663016 0 0.00033698399326032 0.00690817186183656 0 0.00151642796967144 0.00101095197978096 0.00016849199663016 0 0 0.00016849199663016 0 0 0 0.00050547598989048 0.00640269587194608 0.00101095197978096 0.00033698399326032 0 0 0.00016849199663016 0.00016849199663016 0.00033698399326032 0 0 0.00016849199663016 0.00016849199663016 0 0.00033698399326032 0 0 0 0 0.00033698399326032 0 0 0 0 0 0 0 0 0 0 0 0 0.00016849199663016 0 0
"Fa13.BD.MM15.SD.1" 0.311878685762426 0.238079191238416 0.0766638584667228 0.0173546756529065 0.004212299915754 0.0901432181971356 0.00370682392586352 0.0193765796124684 0.08424599831508 0 0.0360572872788543 0.0112889637742207 0.00134793597304128 0.00640269587194608 0.00387531592249368 0 0 0.013647851727043 0.00117944397641112 0.012636899747262 0.00016849199663016 0.00320134793597304 0.0141533277169334 0.00067396798652064 0.00522325189553496 0.00320134793597304 0.00404380791912384 0 0.00016849199663016 0.00286436394271272 0.00303285593934288 0.0008424599831508 0.00454928390901432 0 0.00050547598989048 0.00016849199663016 0.00016849199663016 0.00016849199663016 0.00522325189553496 0.00134793597304128 0.00016849199663016 0.00134793597304128 0 0.004212299915754 0.0016849199663016 0 0.0008424599831508 0.00016849199663016 0 0 0.00016849199663016 0 0.00050547598989048 0 0.00033698399326032 0 0.0025273799494524 0.00404380791912384 0.00067396798652064 0 0 0 0.00016849199663016 0 0 0 0.00016849199663016 0.00033698399326032 0 0.00033698399326032 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00050547598989048 0 0 0
