,$R^2$,$\kappa$,$P-value$,OTU
2,0.3360801102382762,0.25874416862702204,0.0004381002552277228,7
3,0.3554306803583441,0.35672449718799004,1.250729824199345e-06,7
4,0.4446411498337436,0.3405529866488011,3.697900590735894e-06,7
5,0.4056031417727615,0.2758669444920456,0.00017776989786468992,7
6,0.3912791576007174,0.34816310925547816,2.2331876635813563e-06,7
7,0.44346395785686,0.38288429364844256,1.961971077346583e-07,7
8,0.4997346955068601,0.3728960077271789,4.0375858651519277e-07,7
9,0.3937173274024467,0.3177226188287697,1.5784806901595738e-05,7
0,0.6976849889568468,0.5057624825319345,3.994834044344283e-12,8
1,0.7045293387219129,0.5418553220904805,1.066151237360187e-13,8
2,0.6510556393444644,0.5321380191324104,2.8959581506343247e-13,8
3,0.6352261504498895,0.4941942647247081,1.2127299117440489e-11,8
4,0.7063183179535866,0.5029861102582001,5.2266191726197645e-12,8
5,0.6564667514965097,0.5677681299786674,6.814637155163834e-15,8
6,0.6853558779033238,0.4803124033560365,4.4496777596147796e-11,8
7,0.6901109351036134,0.5113152270794029,2.3238062957295224e-12,8
8,0.707123944092303,0.4650423558504978,1.7845696883718668e-10,8
9,0.6375084324372322,0.5164052429145826,1.4071371438596828e-12,8
0,0.6791525935834998,0.6436194465117654,1.840639356593074e-18,9
1,0.5031162054275287,0.6488137340478105,9.797296287085222e-19,9
2,0.6609022514530736,0.6015929382655827,2.52242104011625e-16,9
3,0.5843004272954058,0.6360641191866089,4.565416578600074e-18,9
4,0.6946623402490156,0.6209534645362961,2.721933625021993e-17,9
5,0.6993512578446013,0.6544802295416778,4.89663082426976e-19,9
6,0.773075215209336,0.6256755441145189,1.5650102215493188e-17,9
7,0.6051108179031859,0.6459804863008768,1.382776615390202e-18,9
8,0.5034476099371343,0.6426750305961209,2.063151544132403e-18,9
9,0.6338076467275704,0.6214256724941183,2.575854360619701e-17,9
0,0.3538399716999322,0.2792917668445435,0.00017053471982323844,10
1,0.3970734849635854,0.28420023374866554,0.00013069168075441982,10
2,0.3289825730258276,0.29156293410484857,8.700081878903111e-05,10
