,$R^2$,$\kappa$,$P-value$,OTU
9,-0.007691046273110569,0.19017458138174706,0.029606847601406062,10
0,0.35766652618833394,0.4687505917668556,7.606432257003433e-08,11
1,0.31219500728835137,0.4115471297207308,2.3567997465848087e-06,11
2,0.23590462598198456,0.3670555481293005,2.555330024911089e-05,11
3,0.3675436371267402,0.4634539749107329,1.0637927602835482e-07,11
4,0.2893528931825724,0.4009538960084855,4.252466850737763e-06,11
5,0.3524005560854325,0.449682771084814,2.5022909541478117e-07,11
6,0.3659045063395081,0.465572621653182,9.306220027617725e-08,11
7,0.29226868737601963,0.3850640454401175,1.0035800588910553e-05,11
8,0.2571691990291246,0.40625051286460817,3.17141991519739e-06,11
9,0.3256856984855543,0.4804031488503254,3.5909915159339905e-08,11
0,0.13706936463713293,0.4651168271394629,1.1101597572492113e-07,12
1,0.16060067607304107,0.4629857076565787,1.268201580500144e-07,12
2,0.2262864809518845,0.5801972792152063,3.569030128410838e-11,12
3,0.17565298011128438,0.4555267894664842,2.0115744133977273e-07,12
4,0.20265575703642724,0.5684761220593434,8.745128978579454e-11,12
5,0.12390492835748555,0.5045425375728193,8.531305012333321e-09,12
6,0.125646953533331,0.4288877959304325,9.86699405251535e-07,12
7,0.21089014712786192,0.4864280219683042,2.8420974349755758e-08,12
8,0.21080026752646971,0.5322470908503132,1.2494785328513236e-09,12
9,0.1054933627918816,0.4256911167061063,1.1870101768143208e-06,12
0,0.34175800745858265,0.3797674285839949,1.3270366821655321e-05,13
1,0.3865759624760197,0.4051911894933836,3.364921727228458e-06,13
2,0.4068618390956173,0.4698099151380801,7.112449632324222e-08,13
3,0.4127401092430779,0.4348522438876705,6.120576585040461e-07,13
4,0.5059103691675613,0.4729878852517537,5.8033924161406996e-08,13
5,0.4433577945393823,0.4698099151380801,7.112449632324222e-08,13
6,0.28036368838498804,0.3395131404774626,9.8638232812473e-05,13
7,0.33278596171453656,0.3818860753264439,1.1873499597841346e-05,13
8,0.4877369282286482,0.4528607411984876,2.0591736471437205e-07,13
9,0.5206335604026864,0.5143014967295105,3.666291404754316e-09,13
0,0.4288822971039822,0.4841540977869484,3.3981402768413884e-08,14
1,0.4245491819128766,0.5342757775137911,1.1221564109695685e-09,14
2,0.4644460658112882,0.5012167972684267,1.102855178827951e-08,14
3,0.3301584155963111,0.4574936298471384,1.8318678045213209e-07,14
4,0.4581044047157147,0.4980175411156496,1.3657535070403998e-08,14
5,0.38262495656140016,0.4873533539397256,2.759457241166776e-08,14
6,0.5620018896476855,0.5428071272545303,6.083588908074901e-10,14
7,0.4719481696756726,0.5086817282915735,6.66302055512459e-09,14
8,0.6016176233903203,0.5225451716202747,2.5651112392548478e-09,14
9,0.3693275453637757,0.4756227480462092,5.883140741788513e-08,14
0,0.4762283928474772,0.3668179002091239,2.6228227574122755e-05,15
1,0.1845911394823746,0.2820045128775347,0.0012294936828523954,15
2,0.2451096865343543,0.2915460189523385,0.0008338713901486599,15
3,0.1900799857713814,0.23747748452845024,0.00649587580606739,15
4,0.2928958403503932,0.35939672881761,3.806665493017013e-05,15
5,0.2898032018310337,0.3127493657852358,0.0003379790484226556,15
6,0.3402922908566283,0.3254713738849742,0.00019139956619407681,15
7,0.380421655533567,0.287305349585759,0.0009923063139470447,15
8,0.3576060923892933,0.2385376518700951,0.00626098251450416,15
