,$R^2$,$\kappa$,$P-value$,OTU
9,0.2544508760196201,0.21122298763090366,0.015361705573951326,4
0,0.3717954244983378,0.4782845021078764,4.121371075241175e-08,5
1,0.426090936466904,0.4560387113121612,1.6911830802413633e-07,5
2,0.4243639250889187,0.4814624722215499,3.351253045024907e-08,5
3,0.4596434762092797,0.5090048798733878,5.285950758091057e-09,5
4,0.4051582478217923,0.5058269097597142,6.573934474270905e-09,5
5,0.44317800048749295,0.4592166814258348,1.3876435777568208e-07,5
6,0.3992967010287256,0.4613353281682838,1.2153234618280376e-07,5
7,0.39234137848631057,0.4899370591913462,1.9182507935472103e-08,5
8,0.42584377014054375,0.5058269097597142,6.573934474270905e-09,5
9,0.3665364008272001,0.4179030699480781,1.642728395205924e-06,5
0,0.2399266499071815,0.407299670420886,2.909188975408804e-06,6
1,0.268633334181823,0.4633694951801248,1.0320191955909561e-07,6
2,0.3287110455545268,0.5321343746018328,9.923300453719762e-10,6
3,0.3168882558142069,0.4771224710644664,4.279229059947288e-08,6
4,0.19003972857786897,0.4210526463052275,1.3310662255166643e-06,6
5,0.32538579944535906,0.4940492106144253,1.4007503146455541e-08,6
6,0.5038832393425552,0.5755091446986025,3.8764954703513454e-11,6
7,0.3339020103046177,0.4728907861769767,5.6250163750422586e-08,6
8,0.22140455665595327,0.4030679855333961,3.682603788961789e-06,6
9,0.3155433520016432,0.4305739373020793,7.638117226590131e-07,6
0,0.18256591537170408,0.2709712417756616,0.0018702275071139595,7
1,0.2539371524949662,0.2635618718833583,0.0024858368857069843,7
2,0.30939263896938984,0.3217783496085981,0.00022140954495940035,7
3,0.32083312303349754,0.3334216451536461,0.0001297759936015372,7
4,0.2843397363538632,0.3133104983031087,0.0003230789816370536,7
5,0.3361880210595063,0.3238953124349705,0.00020116912312659248,7
6,0.2807119246661768,0.3482403849382525,6.415923585829788e-05,7
7,0.236549672954838,0.2593279462306136,0.002915925527076698,7
8,0.29257539923564513,0.35670823624374204,4.237058527321502e-05,7
9,0.3167149683266748,0.327070756674529,0.00017404160097822467,7
0,0.0924526114216927,0.25251469949859906,0.0037608879388499853,8
1,0.21650069468865973,0.4367392601390865,5.401095489625434e-07,8
2,0.1575287538531791,0.3710960258878784,2.0603755905230854e-05,8
3,0.2391144160618065,0.4293279272397565,8.37396582687172e-07,8
4,0.21276092021454707,0.3996825956424368,4.512346065619075e-06,8
5,0.16716880015632585,0.4420330693528936,3.9317543867706827e-07,8
6,0.21116785158310206,0.4282691653969951,8.910259378536148e-07,8
7,0.17768997485997684,0.41450526144109656,1.971177382193349e-06,8
8,0.18413226145904604,0.3594496456175027,3.713701044996762e-05,8
9,0.18994102593093087,0.4113289759128123,2.3594920477866434e-06,8
0,0.27846664450815384,0.3886685957906236,8.242465909894763e-06,9
1,0.3774395364351392,0.5062223127736186,6.346639143228904e-09,9
2,0.3860150755929027,0.4691558254366382,7.360838049422057e-08,9
3,0.3155144390904057,0.4204398706508925,1.4122654388169908e-06,9
4,0.4476573674824874,0.5718829474848413,5.3586855911706574e-11,9
5,0.2917228624367697,0.4331483805950001,6.72792063589263e-07,9
6,0.2740581342192048,0.4066723182114426,3.0812942463343367e-06,9
7,0.3609411935492698,0.5189308227177263,2.6303118877885576e-09,9
8,0.3065243027021942,0.4077313607067849,2.9042978191707323e-06,9
9,0.3571032228967628,0.4765691229040343,4.572570773644051e-08,9
0,0.0011544200779631806,0.14342775690802154,0.10088101688714396,10
1,0.05298484923638813,0.2709190963818185,0.0019423651566917509,10
2,-0.025655909095195332,0.21142313796071324,0.015590554553695547,10
3,-0.0666350880208535,0.19654914835543694,0.024561779097338636,10
4,0.039756196383496915,0.2953549364476296,0.0007290486911381482,10
5,0.01901877413824637,0.21142313796071324,0.015590554553695547,10
6,0.07168741849657699,0.3155410651976474,0.0003070075035405603,10
7,-0.041075456043182516,0.22735955539493785,0.009304714674673071,10
8,0.022991650416787083,0.2836682303291982,0.0011755911915519654,10
9,0.017311516221853784,0.2432959728291625,0.005386888693472086,10
0,0.3981006315419455,0.4835811189639989,2.9174666357648254e-08,11
1,0.259452076770306,0.3893013389250157,8.006902942477574e-06,11
2,0.2873655246080312,0.4549793879409367,1.8059422266401773e-07,11
3,0.2799746130479453,0.4073098362358327,2.9894485662481763e-06,11
4,0.3491675954805036,0.4899370591913462,1.9182507935472103e-08,11
5,0.33986030959251834,0.4581573580546103,1.4824418648011188e-07,11
6,0.38326871610473257,0.4708692385093046,6.644692376007533e-08,11
7,0.26837299586026364,0.4041318661221591,3.5677451124828722e-06,11
8,0.3248979742782097,0.3945979557811383,6.018238843887136e-06,11
9,0.28849782232563825,0.4719285618805292,6.209096698636409e-08,11
0,0.1871345691450853,0.5237226129187765,2.280041579432554e-09,12
1,0.17366503288836546,0.4949524998998407,1.6216185850946412e-08,12
2,0.18745334458404928,0.5088047765385876,6.388793545338748e-09,12
3,0.15892572211644107,0.4981491791241669,1.3107918325346474e-08,12
4,0.12008146136881605,0.4214288777403381,1.5156970938857732e-06,12
5,0.14093917565560055,0.46724794662234703,9.712553320839213e-08,12
6,0.15916797107783553,0.4544612297250421,2.1473763914710047e-07,12
7,0.15197067549294796,0.4501989907592738,2.78467268433215e-07,12
8,0.161115194522509,0.4448711920520635,3.8411125891887984e-07,12
9,0.12617773221063378,0.4661823868809049,1.0384619986790233e-07,12
0,0.4093512811432816,0.39989457263726097,4.50869152467492e-06,13
1,0.3900992852520372,0.4073098362358327,2.9902851785847354e-06,13
2,0.3393280104681605,0.4274369802890988,9.470818636956449e-07,13
3,0.4777819618862314,0.4719285618805292,6.21140663973883e-08,13
4,0.3668443966686469,0.40942848297828177,2.6558478778887108e-06,13
5,0.46513727563307,0.449682771084814,2.503138670399276e-07,13
6,0.3719487498054837,0.3935386324099138,6.3753706501490406e-06,13
7,0.4100145774923569,0.415784423205629,1.8543506134318679e-06,13
8,0.3895054680827563,0.4147250998344044,1.9694650999143827e-06,13
9,0.3957468557981537,0.4507420944560385,2.345757191357759e-07,13
0,0.4221935032630239,0.4692242357406549,8.826039567179832e-08,14
1,0.4163173932329549,0.4745563293286168,6.296867233135626e-08,14
2,0.507007096298846,0.5492056395600846,3.8203666449730765e-10,14
3,0.3541780828253518,0.477755585481394,5.133239808521592e-08,14
4,0.4474375222289229,0.5236115903378671,2.3811037298064106e-09,14
5,0.3927218936218628,0.4692242357406549,8.826039567179832e-08,14
6,0.3785395781856129,0.4745563293286168,6.296867233135626e-08,14
7,0.3431452349712025,0.4873533539397256,2.759457241166776e-08,14
8,0.44963778959315104,0.49375186624528006,1.8126021508437062e-08,14
9,0.4409517756674052,0.5001503785508343,1.1844923901885788e-08,14
0,0.2627182286402251,0.20461229693745936,0.019027848799294585,15
1,0.2811289938109789,0.20355212959581448,0.01965682025576156,15
2,0.38585614044859,0.2957866883189179,0.0006991799823410869,15
3,0.4790143485722671,0.3477348880595164,6.74064593569985e-05,15
4,0.44727711425301203,0.39438225109189057,6.187839882255974e-06,15
5,0.25904951312785063,0.2226351417454221,0.010724862683565784,15
6,0.4081045070538685,0.3169900351518153,0.00028024918502307314,15
7,0.16619569520989086,0.26928250477779625,0.002027692549432712,15
8,0.058895440982528975,0.17598777871304794,0.04370281453859818,15
9,0.3676880297913696,0.2448986559199643,0.005005310442297176,15
0,0.27934847642403426,0.3554029910458306,4.578550773392292e-05,16
1,0.3422325481627709,0.3977759258948119,5.063476779920438e-06,16
2,0.3237875485716041,0.3765894584703213,1.5663113424749772e-05,16
3,0.2748524214624488,0.3395131404774626,9.8638232812473e-05,16
4,0.3411543128168309,0.3437504339623608,8.063144650835597e-05,16
5,0.32526111413699893,0.3712928416141986,2.0589280896674697e-05,16
6,0.2566981242324111,0.33633517036378896,0.00011456724425424541,16
7,0.33975254399550114,0.3649369013868514,2.8453200212950236e-05,16
8,0.3166368593578318,0.4051911894933836,3.364921727228458e-06,16
9,0.20658578160829946,0.2505299772946019,0.004061326626117313,16
0,0.4575222937879614,0.4518714530921416,2.264121117341801e-07,17
1,0.41424914285703296,0.4009563597859848,4.369307312303207e-06,17
2,0.4270066356091232,0.4402034108761473,4.593128422758543e-07,17
3,0.3982960661404861,0.4338390242128777,6.70674398645886e-07,17
4,0.4371211863327119,0.3786810064645412,1.4389764644072678e-05,17
5,0.496848198371518,0.3998956286754399,4.631039715249884e-06,17
6,0.27608896582398834,0.3426161487060134,8.683731524610663e-05,17
7,0.3726965246747888,0.40944220867034425,2.729372525216229e-06,17
8,0.33785616417612696,0.4285353686601529,9.158180754992191e-07,17
9,0.3069679552160096,0.38292393090672094,1.1522559505101267e-05,17
0,0.32380384015786745,0.41350513812039535,2.273375872357898e-06,18
1,0.2906442570554897,0.3975602099152387,5.48898182915186e-06,18
2,0.3159043172425889,0.4390170232486459,5.190431320220456e-07,18
3,0.1839811059608678,0.2976386598295905,0.0006669804233807277,18
4,0.33385320895023074,0.4666548988042508,9.548613417793944e-08,18
5,0.2664274317076449,0.3688593391459568,2.475227015971321e-05,18
6,0.2499612084936027,0.4177571189751038,1.7874632340671357e-06,18
7,0.25038991591944393,0.3614183726502169,3.5965701426887336e-05,18
8,0.2939176091350032,0.4230720950434894,1.319173968676042e-06,18
9,0.2708006845757631,0.3741743152143423,1.8874008941973998e-05,18
0,0.6344212407453178,0.4978555303047907,8.585303222795522e-08,19
1,0.6861010124010106,0.5491931509357403,3.494440305405421e-09,19
2,0.632239130608157,0.4715897709122118,3.9388567673019436e-07,19
3,0.5879216045255717,0.4489057059822573,1.379630809900055e-06,19
4,0.6425571926743521,0.537254169393659,7.554816757874901e-09,19
5,0.6343987870932467,0.5384480675478671,6.999280210022322e-09,19
6,0.5798555000629781,0.4775592616832525,2.805128434872991e-07,19
7,0.638502111671155,0.537254169393659,7.554816757874901e-09,19
8,0.5920936040073957,0.4930799376879582,1.1390662982364815e-07,19
9,0.618001227890584,0.5181517989263289,2.508817422775078e-08,19
