"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu000192" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "gamIV" "gamIV-A" NA
"Otu000194" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Methylococcales" "Crenotrichaceae" "Crenothrix" NA
"Otu000195" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Cellvibrionales" "Spongiibacteraceae" "BD1-7_clade" NA
"Otu000201" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "WCHB1-69" "Unclassified" NA
"Otu000204" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "NS11-12_marine_group" "Unclassified" NA
"Otu000205" "Bacteria" "Verrucomicrobia" "[Spartobacteria]" "[Chthoniobacterales]" "verI-A" "verI-A_unclassified" NA
"Otu000207" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Methylococcales" "Methylococcaceae" "Unclassified" NA
"Otu000210" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Caulobacteraceae" "Caulobacter" NA
"Otu000216" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "Sphingobacteriaceae" "Solitalea" NA
"Otu000217" "Bacteria" "Verrucomicrobia" "Spartobacteria" "Chthoniobacterales" "Chthoniobacteraceae" "Chthoniobacter" NA
"Otu000218" "Bacteria" "Bacteroidetes" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" "Bacteroidetes_unclassified" "Unclassified" NA
"Otu000223" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "alfIII" "alfIII_unclassified" NA
"Otu000225" "Bacteria" "Bacteroidetes" "Cytophagia" "Cytophagales" "MWH-CFBk5" "Unclassified" NA
"Otu000226" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Methylophilales" "betIV" "betIV_unclassified" NA
"Otu000227" "Bacteria" "Gemmatimonadetes" "Gemmatimonadetes" "Gemmatimonadales" "Gemmatimonadaceae" "Gemmatimonas" NA
"Otu000229" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Caulobacterales" "Hyphomonadaceae" "Hyphomonas" NA
"Otu000240" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Methylococcales" "pLW-20" "Unclassified" NA
"Otu000244" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Nitrosomonadales" "Gallionellaceae" "Candidatus_Nitrotoga" NA
