"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth" "Total_Sequences"
"110S2F715" "110S2-715-2" 1135872.153 306317.1367 829555.0165 16485.49752 8665.770238 8079.04901 "Accuri" "Michigan" "110S2F715" "Summer" "July" 2015 "Free" "MM110" "Surface" 9142
"110S2F915" "110S2_915_2" 1949851.989 893687.6445 1056164.345 1145512.454 1068865.184 77635.26539 "Accuri" "Michigan" "110S2F915" "Fall" "September" 2015 "Free" "MM110" "Surface" 6041
"Fa13.BD.MM110.DN.1" "MM110-D-N_September" 568983.7842 182014.4591 386969.3251 24646.93633 11889.00427 14151.94835 "Accuri" "Michigan" "Fa13.BD.MM110.DN.1" "Fall" "September" 2013 "Free" "MM110" "Deep" 38303
"Fa13.BD.MM110.SD.1" "MM110-S-D_September" 2267680.202 615599.4895 1652080.713 45326.13418 6792.566394 41497.92018 "Accuri" "Michigan" "Fa13.BD.MM110.SD.1" "Fall" "September" 2013 "Free" "MM110" "Surface" 33755
"Fa13.BD.MM110.SN.1" "MM110-S-N_September" 2435580.554 675328.5303 1760252.024 12632.38127 12312.56847 16630.86577 "Accuri" "Michigan" "Fa13.BD.MM110.SN.1" "Fall" "September" 2013 "Free" "MM110" "Surface" 35142
"Fa13.BD.MM15.DN.1" "MM15-D-N_September" 2045095.25 676246.4628 1368848.787 30764.15524 7834.04871 25115.5344 "Accuri" "Michigan" "Fa13.BD.MM15.DN.1" "Fall" "September" 2013 "Free" "MM15" "Deep" 34665
"Fa13.BD.MM15.SD.1" "MM15-S-D_September" 2279051.153 632620.8475 1646430.306 37166.35827 21380.38518 23405.9583 "Accuri" "Michigan" "Fa13.BD.MM15.SD.1" "Fall" "September" 2013 "Free" "MM15" "Surface" 32178
"Fa13.BD.MM15.SN.1" "MM15-S-N_September" 2329065.235 686924.2335 1642141.002 18035.62887 7318.210684 20119.65194 "Accuri" "Michigan" "Fa13.BD.MM15.SN.1" "Fall" "September" 2013 "Free" "MM15" "Surface" 31856
"M15S2F115" "M15S2-115-2" 2281973.241 621877.9175 1660095.323 43353.37873 17123.36767 28660.34734 "Accuri" "Michigan" "M15S2F115" "Winter" "Januari" 2015 "Free" "MM15" "Surface" 15360
"M15S2F515" "M15S2-515-DMSO" 6426699.13 3182154.208 3244544.922 80936.74208 42003.27573 58941.66143 "Accuri" "Michigan" "M15S2F515" "Spring" "May" 2015 "Free" "MM15" "Surface" 14860
"M15S2F715" "M15S2-715-2" 1604758.197 478074.9919 1126683.205 57917.93147 19846.46666 38201.0409 "Accuri" "Michigan" "M15S2F715" "Summer" "July" 2015 "Free" "MM15" "Surface" 9814
"M15S2F815" "M15S2-815" 2577264.029 815176.786 1762087.243 38926.8287 17019.66757 22389.59718 "Accuri" "Michigan" "M15S2F815" "Summer" "August" 2015 "Free" "MM15" "Surface" 12677
"M15S2F915" "M15S2-915-2" 1545927.125 372969.0397 1172958.085 56324.6898 15049.32295 43166.03673 "Accuri" "Michigan" "M15S2F915" "Fall" "September" 2015 "Free" "MM15" "Surface" 12919
"M45D2F115" "M45D2-115-2" 1647885.545 372830.1987 1275055.346 26333.10634 1400.859444 26651.92494 "Accuri" "Michigan" "M45D2F115" "Winter" "Januari" 2015 "Free" "MM45" "Deep" 22716
"M45D2F415" "M45D2-415-2" 1126724.256 300912.0984 825812.1574 11035.97536 5850.115758 6035.314184 "Accuri" "Michigan" "M45D2F415" "Spring" "April" 2015 "Free" "MM45" "Deep" 7263
"M45D2F515" "M45D2-515" 1694259.724 610479.7691 1083779.955 25720.93409 10802.24964 16903.77507 "Accuri" "Michigan" "M45D2F515" "Spring" "May" 2015 "Free" "MM45" "Deep" 15696
"M45D2F715" "M45D2-715-2" 657163.5451 108776.5115 548387.0336 20690.36921 3846.949671 16978.59339 "Accuri" "Michigan" "M45D2F715" "Summer" "July" 2015 "Free" "MM45" "Deep" 16753
"M45D2F815" "M45D2-815" 774089.043 205706.149 568382.894 8983.157155 4125.573508 5423.820044 "Accuri" "Michigan" "M45D2F815" "Summer" "August" 2015 "Free" "MM45" "Deep" 12041
"M45D2F915" "M45D2-915-2" 1141301.726 262718.9641 878582.7622 10790.67235 8500.398517 3349.100706 "Accuri" "Michigan" "M45D2F915" "Fall" "September" 2015 "Free" "MM45" "Deep" 18637
"M45S2F415" "M45S2-415-2" 1232528.393 302713.4601 929814.933 5780.176205 1449.254176 5296.13539 "Accuri" "Michigan" "M45S2F415" "Spring" "April" 2015 "Free" "MM45" "Surface" 19879
"M45S2F515" "M45S2-515-DMSO" 2169417.914 939862.3429 1229555.571 6953.540136 7142.277772 6831.590983 "Accuri" "Michigan" "M45S2F515" "Spring" "May" 2015 "Free" "MM45" "Surface" 12393
"M45S2F715" "M45S2-715-2" 1079869.359 266334.0178 813535.3415 38446.99785 9673.745116 28898.02637 "Accuri" "Michigan" "M45S2F715" "Summer" "July" 2015 "Free" "MM45" "Surface" 16886
"M45S2F815" "M45S2-815" 1906475.879 531427.2257 1375048.653 111100.0044 38254.06618 73432.04047 "Accuri" "Michigan" "M45S2F815" "Summer" "August" 2015 "Free" "MM45" "Surface" 16641
"M45S2F915" "M45S2-915-2" 1254145.438 270705.2929 983440.1456 32116.20862 748.942889 31389.15116 "Accuri" "Michigan" "M45S2F915" "Fall" "September" 2015 "Free" "MM45" "Surface" 11235
"Sp13.BD.MM110.SD.1" "MM110-S-D_April" 1233601.825 332729.8451 900871.98 214950.6786 56130.15509 158912.6691 "Accuri" "Michigan" "Sp13.BD.MM110.SD.1" "Spring" "April" 2013 "Free" "MM110" "Surface" 35804
"Sp13.BD.MM110.SN.1" "MM110-S-N_April" 1758473.265 408481.7023 1349991.562 64090.28468 22058.93255 44732.69263 "Accuri" "Michigan" "Sp13.BD.MM110.SN.1" "Spring" "April" 2013 "Free" "MM110" "Surface" 35958
"Sp13.BD.MM15.DD.1" "MM15-D-D_April" 3019947.42 1329590.729 1690356.691 35081.79388 25818.55921 25525.35229 "Accuri" "Michigan" "Sp13.BD.MM15.DD.1" "Spring" "April" 2013 "Free" "MM15" "Deep" 35392
"Sp13.BD.MM15.SD.1" "MM15-S-D_April" 2713212.175 1072190.979 1641021.197 50109.03403 37492.64308 23424.43841 "Accuri" "Michigan" "Sp13.BD.MM15.SD.1" "Spring" "April" 2013 "Free" "MM15" "Surface" 33508
"Sp13.BD.MM15.SN.1" "MM15-S-N_April" 2757128.082 1168979.21 1588148.872 24022.56792 2626.909072 24470.4298 "Accuri" "Michigan" "Sp13.BD.MM15.SN.1" "Spring" "April" 2013 "Free" "MM15" "Surface" 35586
"Su13.BD.MM110.DCMD.1" "MM110-DCMD_July" 1895526.594 742792.257 1152734.337 51736.376 28967.35582 22885.76472 "Accuri" "Michigan" "Su13.BD.MM110.DCMD.1" "Summer" "July" 2013 "Free" "MM110" "Deep" 35263
"Su13.BD.MM110.DN.1" "MM110-D-N_July" 470724.2112 131128.2349 339595.9763 3351.046423 3548.679604 1563.658299 "Accuri" "Michigan" "Su13.BD.MM110.DN.1" "Summer" "July" 2013 "Free" "MM110" "Deep" 38444
"Su13.BD.MM110.SD.1" "MM110-S-D_July" 1573259.812 238393.368 1334866.444 220296.0805 36120.03161 185026.1146 "Accuri" "Michigan" "Su13.BD.MM110.SD.1" "Summer" "July" 2013 "Free" "MM110" "Surface" 32175
"Su13.BD.MM110.SN.1" "MM110-S-N_July" 1699761.618 251029.9334 1448731.685 33261.5452 10431.17575 30313.12866 "Accuri" "Michigan" "Su13.BD.MM110.SN.1" "Summer" "July" 2013 "Free" "MM110" "Surface" 34265
"Su13.BD.MM15.DN.1" "MM15-D-N_July" 2491911.735 617480.1365 1874431.599 29053.96917 9262.75169 20829.12352 "Accuri" "Michigan" "Su13.BD.MM15.DN.1" "Summer" "July" 2013 "Free" "MM15" "Deep" 31706
"Su13.BD.MM15.SD.1" "MM15-S-D_July" 2781922.711 565478.2961 2216444.415 36366.33124 7002.639501 36366.49868 "Accuri" "Michigan" "Su13.BD.MM15.SD.1" "Summer" "July" 2013 "Free" "MM15" "Surface" 32334
"Su13.BD.MM15.SN.1" "MM15-S-N_July" 2963172.842 632722.9215 2330449.92 37604.70173 16918.46804 27240.06031 "Accuri" "Michigan" "Su13.BD.MM15.SN.1" "Summer" "July" 2013 "Free" "MM15" "Surface" 35065
