"Otu000001" "Otu000009" "Otu000012" "Otu000022" "Otu000023" "Otu000030" "Otu000075" "Otu000077" "Otu000082" "Otu000093" "Otu000136" "Otu000227" "Otu000267" "Otu000387" "Otu000775" "Otu001006" "Otu001028" "Otu001345" "Otu002142" "Otu002522" "Otu003936" "Otu004969"
"110S2F115" 0.440438079191238 0.113058129738837 0.179612468407751 0.166133108677338 0.00067396798652064 0.0345408593091828 0.00808761583824768 0.0316764953664701 0 0.0202190395956192 0.00539174389216512 0 0 0 0 0 0.00016849199663016 0 0 0 0 0
"110S2F415" 0.312047177759056 0.161752316764954 0.0950294860994103 0.357203032855939 0.00050547598989048 0.0050547598989048 0.0355518112889638 0.0129738837405223 0 0.00791912384161752 0.00488626790227464 0.00202190395956192 0 0 0.00202190395956192 0 0 0 0 0.00303285593934288 0 0
"110S2F515" 0.378264532434709 0.204717775905644 0.130075821398484 0.224768323504634 0.00033698399326032 0.0033698399326032 0.0372367312552654 0.00657118786857624 0.00016849199663016 0.00522325189553496 0.00640269587194608 0.0008424599831508 0 0 0.00151642796967144 0 0 0 0 0.00050547598989048 0 0
"110S2F715" 0.311878685762426 0.1787700084246 0.098904802021904 0.202527379949452 0.00825610783487784 0.0534119629317607 0.004212299915754 0.0613310867733783 0 0.0712721145745577 0.00909856781802864 0.00033698399326032 0 0 0 0 0 0 0 0 0 0
"110S2F915" 0.30547598989048 0.0909856781802864 0.215501263689975 0.154170176916596 0 0.0613310867733783 0.00117944397641112 0.0790227464195451 0 0.0729570345408593 0.0193765796124684 0 0 0 0 0 0 0 0 0 0 0
"Fa13.BD.MM110.DN.1" 0.222240943555181 0.136310025273799 0.0456613310867734 0.298567818028644 0.0016849199663016 0.00370682392586352 0.219545071609099 0.00134793597304128 0.00286436394271272 0.00404380791912384 0.0540859309182814 0.00151642796967144 0 0 0.0050547598989048 0.00185341196293176 0 0 0.00050547598989048 0.00101095197978096 0 0
"Fa13.BD.MM110.SD.1" 0.34743049705139 0.211120471777591 0.0370682392586352 0.363437236731255 0.00033698399326032 0.0222409435551811 0.00202190395956192 0.00572872788542544 0 0.00219039595619208 0.0075821398483572 0.00067396798652064 0 0 0.00016849199663016 0 0 0 0 0 0 0
"Fa13.BD.MM110.SN.1" 0.308003369839933 0.243302443133951 0.0281381634372367 0.366638584667228 0.00016849199663016 0.0310025273799494 0.00151642796967144 0.00539174389216512 0 0.00454928390901432 0.0106149957877001 0.00016849199663016 0 0 0 0 0 0 0 0 0.00050547598989048 0
"Fa13.BD.MM15.DN.1" 0.361415332771693 0.254591406908172 0.068407750631845 0.273125526537489 0.00117944397641112 0.0131423757371525 0.0144903117101938 0.0016849199663016 0.00067396798652064 0.00235888795282224 0.00808761583824768 0 0 0.00050547598989048 0.00016849199663016 0 0 0 0 0 0 0.00016849199663016
"Fa13.BD.MM15.SD.1" 0.318955349620893 0.223083403538332 0.0335299073294019 0.382139848357203 0.00016849199663016 0.0114574557708509 0.00286436394271272 0.012636899747262 0.00016849199663016 0.00320134793597304 0.0107834877843302 0.00016849199663016 0 0 0.00033698399326032 0 0 0 0 0 0.00050547598989048 0
"Fa13.BD.MM15.SN.1" 0.347935973041281 0.208087615838248 0.0390901432181971 0.360572872788543 0.00016849199663016 0.0153327716933446 0.00387531592249368 0.0111204717775906 0.00050547598989048 0.00471777590564448 0.00775063184498736 0.00033698399326032 0 0 0 0 0 0 0.00033698399326032 0.00016849199663016 0 0
"M15S2F115" 0.535467565290649 0.150294860994103 0.109014321819714 0.134288121314238 0.00101095197978096 0.0141533277169334 0.030497051390059 0.0124684077506318 0 0.00454928390901432 0.00724515585509688 0 0 0.00033698399326032 0 0.00016849199663016 0 0 0.00016849199663016 0 0.00033698399326032 0
