"Otu000004" "Otu000005" "Otu000009" "Otu000010" "Otu000012" "Otu000023" "Otu000042" "Otu000075" "Otu000082" "Otu000152" "Otu000227" "Otu000267" "Otu000387" "Otu000438" "Otu000509" "Otu000644" "Otu000682" "Otu000717" "Otu000931" "Otu001021" "Otu001130" "Otu001264" "Otu001345" "Otu001649" "Otu001697" "Otu001854" "Otu002028" "Otu002498" "Otu003189" "Otu004647" "Otu004798" "Otu005431" "Otu008988"
"MDPE1F714" 1703752.58210838 1333371.58599786 1341379.8237516 3167258.03160453 1037066.78910945 26026.772699658 446459.254771056 30030.8915765284 46047.3670840103 168172.992828559 10010.2971921761 4004.11887687046 2002.05943843523 0 14014.4160690466 12012.3566306114 22022.6538227875 0 0 0 0 0 0 0 0 0 0 0 2002.05943843523 0 0 0 0
"MDPE1F914" 2306760.83329372 497228.119591278 1501125.39901924 1658476.06977597 775738.806830697 14161.560368106 140042.096973493 33043.6408589141 201408.858568619 118013.00306755 11014.5469529714 6294.02683026935 0 0 4720.52012270201 70807.8018405301 7867.53353783668 0 7867.53353783668 0 0 1573.50670756734 0 1573.50670756734 0 0 0 3147.01341513467 0 0 0 0 0
"MDPE1F715" 3816693.97343822 299790.996224455 844572.483987174 1087951.19597584 1005750.43894656 88647.8752276614 104765.6707236 95094.9934260368 59635.8433349722 69306.5206325353 1611.77954959384 3223.55909918769 0 0 8058.89774796922 24176.6932439077 17729.5750455323 0 1611.77954959384 0 0 0 0 0 0 1611.77954959384 0 0 8058.89774796922 0 1611.77954959384 0 0
"MDPE2F515" 2882328.99762463 2606.08408465156 741430.922083369 1499801.39071697 754461.342506627 52121.6816930312 88606.8588781531 10424.3363386062 0 28666.9249311672 3909.12612697734 0 1303.04204232578 0 0 9121.29429628046 1303.04204232578 0 0 1303.04204232578 0 1303.04204232578 0 1303.04204232578 0 0 0 0 13030.4204232578 2606.08408465156 0 0 0
"MDPE2F915" 2126272.3908136 119241.261228303 713086.354276186 1003515.56479265 859481.566081231 18889.7047490381 275081.325407867 43682.4422321505 161743.096913638 164104.310007268 1180.60654681488 5903.03273407439 0 0 11806.0654681488 7083.63928088927 0 0 5903.03273407439 0 0 1180.60654681488 1180.60654681488 0 0 0 0 0 3541.81964044463 0 0 0 0
"MDPH1F714" 657331.833775973 12537.6644044463 386279.469984609 985102.203206499 481804.532113724 3582.18982984181 81196.3028097478 19702.04406413 5970.31638306969 43583.3095964087 7761.41129799059 11940.6327661394 597.031638306969 1194.06327661394 62688.3220222317 17313.9175109021 597.031638306969 3582.18982984181 0 1194.06327661394 0 1791.09491492091 4179.22146814878 0 0 0 0 0 1791.09491492091 597.031638306969 0 597.031638306969 0
"MDPH1F914" 556097.780840958 11451.176954254 513871.565822146 1207383.47011415 596176.900180847 12166.8755138948 70854.1574044463 28627.9423856349 37932.0236609662 76579.7458815733 3578.49279820436 65844.2674869602 0 1431.39711928174 50814.5977345019 27196.5452663531 0 4294.19135784523 4294.19135784523 0 0 30775.0380645575 19323.8611103035 5009.88991748611 0 715.698559640872 2862.79423856349 0 19323.8611103035 1431.39711928174 0 0 0
"MDPH1F715" 840433.166298846 22542.5677342882 436979.005310817 654312.478851646 497092.519268918 24276.6114061565 52599.324713339 68205.7177601539 14450.363932236 28900.727864472 5202.13101560496 10982.2765884994 0 1156.02911457888 11560.2911457888 9248.23291663104 1734.04367186832 578.01455728944 0 578.01455728944 0 2890.0727864472 5202.13101560496 2890.0727864472 0 1156.02911457888 0 0 10404.2620312099 578.01455728944 0 0 0
"MDPH2F514" 383291.109280889 665.435953612655 534345.070750962 1107285.42681146 678744.672684908 195638.170362121 113789.548067764 3327.17976806327 665.435953612655 15305.0269330911 5988.92358251389 11977.8471650278 0 0 5323.48762890124 39260.7212631466 0 0 0 3327.17976806327 0 1330.87190722531 7985.23144335186 665.435953612655 665.435953612655 665.435953612655 0 0 2661.74381445062 0 0 0 0
"MDPH2F515" 900445.75742454 1968.9047174006 232330.756653271 934573.439192817 716681.317133818 46597.4116451475 93851.1248627618 6563.01572466866 0 30846.1739059427 1312.60314493373 16407.5393116717 0 656.301572466866 5250.41257973493 34783.9833407439 656.301572466866 656.301572466866 1312.60314493373 0 0 1968.9047174006 24939.4597537409 656.301572466866 1312.60314493373 1312.60314493373 0 656.301572466866 12469.7298768705 1968.9047174006 0 0 0
