"Otu000004" "Otu000005" "Otu000009" "Otu000010" "Otu000019" "Otu000023" "Otu000042" "Otu000075" "Otu000082" "Otu000152" "Otu000227" "Otu000267" "Otu000387" "Otu000438" "Otu000509" "Otu000644" "Otu000682" "Otu000717" "Otu000931" "Otu001130" "Otu001264" "Otu001345" "Otu001649" "Otu001672" "Otu001697" "Otu001799" "Otu001854" "Otu002028" "Otu002498" "Otu004647" "Otu004798" "Otu005431" "Otu008988"
"MINE1F914" 0.346515604959384 0.0162462590850791 0.237280889268918 0.285378366823429 0.0589995724668662 0.00427533133817871 0.00705429670799487 0.0036340316374519 0.0113296280461736 0.0145361265498076 0.000213766566908935 0.00106883283454468 0 0.000641299700726806 0.00320649850363403 0.0036340316374519 0.000641299700726806 0.000641299700726806 0.00192389910218042 0 0.000213766566908935 0.000213766566908935 0.000213766566908935 0.000213766566908935 0.000213766566908935 0.00149636596836255 0.000213766566908935 0 0 0 0 0 0
"MINE1F715" 0.368319794784096 0.0207353569901667 0.148781530568619 0.302265925609235 0.118640444634459 0.00534416417272339 0.00748182984181274 0.00192389910218042 0.000641299700726806 0.0117571611799914 0.000213766566908935 0.00171013253527148 0 0.000213766566908935 0.00149636596836255 0.00513039760581445 0.000641299700726806 0.000213766566908935 0 0.000213766566908935 0.000213766566908935 0.000855066267635742 0.00171013253527148 0.000213766566908935 0 0.00106883283454468 0 0 0 0.000213766566908935 0 0 0
"MINE2F515" 0.357203933304831 0.00235143223599829 0.203292005130398 0.282171868319795 0.0970500213766567 0.00919196237708422 0.0149636596836255 0.00235143223599829 0.000641299700726806 0.00855066267635742 0 0.0036340316374519 0 0.000213766566908935 0.00235143223599829 0.00277896536981616 0.00149636596836255 0.000641299700726806 0.000213766566908935 0.000213766566908935 0.00128259940145361 0.0036340316374519 0 0.00171013253527148 0 0.00320649850363403 0.000855066267635742 0 0 0 0 0 0
"MINE2F915" 0.408935442496794 0.0119709277469004 0.210346301838392 0.21889696451475 0.0949123557075673 0.0029927319367251 0.0158187259512612 0.00427533133817871 0.00342026507054297 0.0145361265498076 0.000213766566908935 0.00277896536981616 0 0.000641299700726806 0.00171013253527148 0.00171013253527148 0.000213766566908935 0.000213766566908935 0.00149636596836255 0 0.00106883283454468 0.000641299700726806 0.00106883283454468 0.000427533133817871 0 0.00171013253527148 0 0 0 0 0 0 0
"MINH1F514" 0.157332193244976 0.000855066267635742 0.365327062847371 0.34330910645575 0.0666951688755879 0.00940572894399316 0.0314236853356135 0.00106883283454468 0 0.00470286447199658 0.000641299700726806 0.000855066267635742 0 0.000427533133817871 0.0029927319367251 0.000641299700726806 0.00192389910218042 0.000427533133817871 0.000213766566908935 0 0.00192389910218042 0.000641299700726806 0 0.00171013253527148 0.00106883283454468 0.00513039760581445 0 0 0.000213766566908935 0 0.00106883283454468 0 0
"MINH1F714" 0.430953398888414 0.0309961522017956 0.197092774690038 0.211201368106028 0.0835827276613938 0.00213766566908935 0.0143223599828987 0.0029927319367251 0.00106883283454468 0.0128259940145361 0 0.00171013253527148 0 0.000213766566908935 0.00256519880290723 0.00534416417272339 0.000855066267635742 0.000213766566908935 0 0 0.000427533133817871 0.000213766566908935 0.000427533133817871 0 0 0.000427533133817871 0.000427533133817871 0 0 0 0 0 0
"MINH1F914" 0.353997434801197 0.016673792218897 0.249893116716546 0.277682770414707 0.0577169730654126 0.00277896536981616 0.0121846943138093 0.00406156477126977 0.00448909790508764 0.00448909790508764 0.000855066267635742 0.00106883283454468 0 0.000213766566908935 0.00213766566908935 0.00342026507054297 0.00106883283454468 0 0.00149636596836255 0 0.000641299700726806 0.000641299700726806 0 0.000213766566908935 0 0.00320649850363403 0.000641299700726806 0 0 0.000427533133817871 0 0 0
"MINH1F715" 0.397819581017529 0.0376229157759726 0.169303120991877 0.286660966224882 0.0634886703719538 0.0029927319367251 0.0072680632749038 0.00555793073963232 0.00128259940145361 0.00705429670799487 0.000213766566908935 0.00171013253527148 0 0.000427533133817871 0.00235143223599829 0.00790936297563061 0.000855066267635742 0 0.000641299700726806 0 0.000427533133817871 0.00106883283454468 0.000213766566908935 0.000427533133817871 0.000427533133817871 0.0029927319367251 0 0 0.000213766566908935 0.000855066267635742 0 0.000213766566908935 0
"MINH2F515" 0.396536981616075 0.000855066267635742 0.178281316802052 0.269345874305259 0.111372381359555 0.00705429670799487 0.013253527148354 0.00320649850363403 0.000641299700726806 0.00705429670799487 0.000213766566908935 0.00192389910218042 0 0.000213766566908935 0.00149636596836255 0.00171013253527148 0.000213766566908935 0.000427533133817871 0.000427533133817871 0 0.000641299700726806 0.00213766566908935 0.000427533133817871 0.000641299700726806 0.000427533133817871 0.00128259940145361 0 0 0.000213766566908935 0 0 0 0
"MINH2F915" 0.336041043180847 0.0147498931167165 0.239846088071826 0.280889268918341 0.0790936297563061 0.00213766566908935 0.0134672937152629 0.0036340316374519 0.00235143223599829 0.0126122274476272 0.000213766566908935 0.00213766566908935 0 0 0.00149636596836255 0.00106883283454468 0 0 0.000641299700726806 0 0.00149636596836255 0.00277896536981616 0 0.000213766566908935 0 0.00384779820436084 0.000213766566908935 0.000213766566908935 0 0.000855066267635742 0 0 0
