"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth" "Total_Sequences"
"Z14042F" "Z14-42-1" 6818565.935 2052859.515 4765706.42 66650.07366 50209.9916 20963.72283 "Accuri" "Inland" "Z14042F" "Summer" "June" 2015 "Free" "Whitmore" "Surface" 32017
"Z14043F" "Z14-43-1" 3837709.564 825094.5648 3012614.999 59723.58685 26969.04282 33177.96266 "Accuri" "Inland" "Z14043F" "Summer" "June" 2015 "Free" "Whitmore" "Deep" 36303
"Z14044F" "Z14-44-1" 7309963.2 2172316.521 5137646.679 78193.01484 45712.60971 32480.49101 "Accuri" "Inland" "Z14044F" "Summer" "June" 2015 "Free" "Whitmore" "Surface" 26873
"Z14045F" "Z14-45-1" 5916745.467 1458781.524 4457963.943 196428.2412 46900.41423 150361.0169 "Accuri" "Inland" "Z14045F" "Summer" "June" 2015 "Free" "Independence" "Surface" 47134
"Z14046F" "Z14-46-1" 5395203.168 1308085.503 4087117.665 41184.03421 15216.70354 32506.52221 "Accuri" "Inland" "Z14046F" "Summer" "June" 2015 "Free" "Independence" "Surface" 35874
"Z14047F" "Z14-47-1" 6305317.804 1919578.208 4385739.596 44976.7604 9461.383394 36257.15153 "Accuri" "Inland" "Z14047F" "Summer" "June" 2015 "Free" "Independence" "Deep" 26088
"Z14048F" "Z14-48-1" 5776899.202 1206946.024 4569953.178 16116.83988 12821.85987 8694.443944 "Accuri" "Inland" "Z14048F" "Summer" "June" 2015 "Free" "Independence" "Surface" 23300
"Z14050F" "Z14-50-1" 4130724.917 1054379.193 3076345.724 60422.00262 11063.25124 49660.13283 "Accuri" "Inland" "Z14050F" "Fall" "October" 2015 "Free" "North" "Surface" 18860
"Z14053F" "Z14-53-1" 3870306.913 880437.9836 2989868.929 30627.36914 26175.70698 17629.77041 "Accuri" "Inland" "Z14053F" "Fall" "October" 2014 "Free" "Bruin" "Surface" 24818
"Z14055F" "Z14-55-1" 7151123.168 3062020.685 4089102.483 198957.118 98250.61456 100748.5977 "Accuri" "Inland" "Z14055F" "Fall" "October" 2014 "Free" "Bruin" "Deep" 29845
"Z14057F" "Z14-57-1" 6199513.88 1852823.504 4346690.376 36298.89511 41941.71529 15953.11692 "Accuri" "Inland" "Z14057F" "Fall" "October" 2014 "Free" "Whitmore" "Surface" 25473
"Z14059F" "Z14-59-1" 5262967.016 1470039.168 3792927.848 89982.83309 36299.69349 61419.2159 "Accuri" "Inland" "Z14059F" "Fall" "October" 2014 "Free" "Whitmore" "Deep" 30860
"Z14061F" "Z14-61-1" 4120768.342 1225764.088 2895004.253 50446.72218 28177.46895 29507.86883 "Accuri" "Inland" "Z14061F" "Fall" "October" 2014 "Free" "Independence" "Surface" 25229
"Z14063F" "Z14-63-1" 3795547.753 1108947.539 2686600.214 43293.9176 29584.95376 14186.64837 "Accuri" "Inland" "Z14063F" "Fall" "October" 2014 "Free" "Independence" "Deep" 27149
"Z15065F" "Z14-65-1" 1957204.374 707579.9188 1249624.456 216171.2793 46673.59786 170378.9331 "Accuri" "Inland" "Z15065F" "Spring" "April" 2015 "Free" "North" "Surface" 10152
"Z15067F" "Z14-67-1" 1858277.671 700805.7004 1157471.971 272738.7584 101431.0373 172065.73 "Accuri" "Inland" "Z15067F" "Spring" "April" 2015 "Free" "North" "Deep" 9907
"Z15069F" "Z14-69-1" 2512418.891 778563.6587 1733855.232 52508.00127 20198.48344 36601.86573 "Accuri" "Inland" "Z15069F" "Spring" "April" 2015 "Free" "Bruin" "Surface" 14634
"Z15071F" "Z14-71-1" 3579879.208 1321206.898 2258672.311 53131.33225 48653.39876 5991.882325 "Accuri" "Inland" "Z15071F" "Spring" "April" 2015 "Free" "Bruin" "Deep" 19656
"Z15073F" "Z14-73-1" 5534262.926 1984381.604 3549881.322 43895.85017 40362.50055 7519.806139 "Accuri" "Inland" "Z15073F" "Spring" "April" 2015 "Free" "Whitmore" "Surface" 14836
"Z15075F" "Z14-75-1" 5699981.915 2094257.295 3605724.62 185339.2347 109599.1324 75881.84993 "Accuri" "Inland" "Z15075F" "Spring" "April" 2015 "Free" "Whitmore" "Deep" 14343
"Z15077F" "Z14-77-1" 6536193.575 2021500.991 4514692.585 76357.80296 51386.08918 26034.3514 "Accuri" "Inland" "Z15077F" "Spring" "April" 2015 "Free" "Independence" "Surface" 16452
"Z15079F" "Z14-79-1" 6556486.887 2001412.927 4555073.96 46399.32271 7226.140413 40262.08702 "Accuri" "Inland" "Z15079F" "Spring" "April" 2015 "Free" "Independence" "Deep" 16158
