"Rank1" "Rank2" "Rank3" "Rank4" "Rank5" "Rank6" "Rank7"
"Otu001414" "Bacteria" "Actinobacteria" "Acidimicrobiia" "Acidimicrobiales" "Acidimicrobiales_Incertae_Sedis" NA NA
"Otu001415" "Bacteria" "Spirochaetae" "Spirochaetes" "Spirochaetales" "Spirochaetaceae" NA NA
"Otu001435" "Bacteria" "Firmicutes" "Bacilli" "Lactobacillales" "Lactobacillaceae" NA NA
"Otu001451" "Bacteria" "Proteobacteria" "JTB23" "JTB23_unclassified" "JTB23_unclassified" NA NA
"Otu001494" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "P3OB-42" NA NA
"Otu001521" "Bacteria" "Planctomycetes" "Phycisphaerae" "Phycisphaerales" "Phycisphaerales_unclassified" NA NA
"Otu001526" "Bacteria" "Parcubacteria" "Parcubacteria_unclassified" "Parcubacteria_unclassified" "Parcubacteria_unclassified" NA NA
"Otu001556" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Fusobacteriales_unclassified" NA NA
"Otu001602" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Myxococcales" "Cystobacteraceae" NA NA
"Otu001636" "Bacteria" "Bacteroidetes" "Sphingobacteriia" "Sphingobacteriales" "LiUU-11-161" NA NA
"Otu001643" "Bacteria" "Proteobacteria" "Betaproteobacteria" "Neisseriales" "Neisseriaceae" NA NA
"Otu001649" "Bacteria" "Fusobacteria" "Fusobacteriia" "Fusobacteriales" "Hados.Sed.Eubac.3" NA NA
"Otu001662" "Bacteria" "Cyanobacteria" "Melainabacteria" "Obscuribacterales" "Obscuribacterales_unclassified" NA NA
"Otu001684" "Bacteria" "Bacteroidetes" "SB-5" "SB-5_unclassified" "SB-5_unclassified" NA NA
"Otu001690" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "Rickettsiaceae" NA NA
"Otu001693" "Bacteria" "Candidate_division_SR1" "Candidate_division_SR1_unclassified" "Candidate_division_SR1_unclassified" "Candidate_division_SR1_unclassified" NA NA
"Otu001700" "Bacteria" "Aminicenantes" "Aminicenantes_unclassified" "Aminicenantes_unclassified" "Aminicenantes_unclassified" NA NA
"Otu001754" "Bacteria" "Firmicutes" "Bacilli" "Bacillales" "Family_XII" NA NA
"Otu001779" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Syntrophobacterales" "Syntrophobacteraceae" NA NA
"Otu001784" "Bacteria" "Candidate_division_OP3" "Candidate_division_OP3_unclassified" "Candidate_division_OP3_unclassified" "Candidate_division_OP3_unclassified" NA NA
"Otu001821" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" NA NA
"Otu001827" "Bacteria" "Acidobacteria" "Acidobacteria" "Subgroup_3" "Subgroup_3_unclassified" NA NA
"Otu001834" "Bacteria" "Proteobacteria" "Proteobacteria_unclassified" "Proteobacteria_unclassified" "Unclassified" NA NA
"Otu001853" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "FukuN57" NA NA
"Otu001949" "Bacteria" "Lentisphaerae" "MSBL3" "MSBL3_unclassified" "MSBL3_unclassified" NA NA
"Otu001950" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rickettsiales" "SM2D12" NA NA
"Otu001954" "Bacteria" "Proteobacteria" "Deltaproteobacteria" "Sva0485" "Sva0485_unclassified" NA NA
"Otu002006" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" NA NA
"Otu002044" "Bacteria" "Lentisphaerae" "Oligosphaeria" "Oligosphaerales" "Oligosphaerales_unclassified" NA NA
"Otu002084" "Bacteria" "Chlorobi" "Chlorobia" "Chlorobiales" "SJA-28" NA NA
"Otu002090" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadales_unclassified" NA NA
