"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth" "Total_Sequences"
"MDPH1F714" "MDPH1-714" 2792914.004 836163.6558 1956750.349 26474.93709 13528.57357 13340.77381 "Accuri" "Muskegon" "MDPH1F714" "Summer" "July" 2014 "Free" "MDP" "Deep" 28527
"MDPH1F914" "MDPH1-914" 3348037.862 1139623.799 2208414.063 23674.13538 41727.05286 39616.47438 "Accuri" "Muskegon" "MDPH1F914" "Fall" "September" 2014 "Free" "MDP" "Deep" 29939
"MDPH1F715" "MDPH1-715" 2703952.099 713102.3333 1990849.765 105017.4351 38215.53239 69910.79354 "Accuri" "Muskegon" "MDPH1F715" "Summer" "July" 2015 "Free" "MDP" "Deep" 19689
"MDPH2F514" "MUSDEPH-hypo-deep-514" 3112909.391 1406416.197 1706493.194 42784.51351 25040.30632 17793.40622 "Accuri" "Muskegon" "MDPH2F514" "Spring" "May" 2014 "Free" "MDP" "Deep" 21536
"MDPH2F515" "MDPH2-515" 3070178.756 1051089.388 2019089.367 6039.95441 12237.51948 7037.903373 "Accuri" "Muskegon" "MDPH2F515" "Spring" "May" 2015 "Free" "MDP" "Deep" 21593
"MDPH2F915" "MDPH2-915" 4146877.003 1587176.345 2559700.658 19131.94141 15916.58115 20687.32738 "Accuri" "Muskegon" "MDPH2F915" "Fall" "September" 2015 "Free" "MDP" "Deep" 21738
"MINE1F514" "MUSINLE1-epi-inlet-514" 5465149.289 3145039.711 2320109.578 123721.5566 95869.82959 54191.70502 "Accuri" "Muskegon" "MINE1F514" "Spring" "May" 2014 "Free" "MIN" "Surface" 50492
"MINE1F714" "MINE1-714" 10419622.5 3659046.108 6760576.391 63905.04441 37249.16958 50443.82012 "Accuri" "Muskegon" "MINE1F714" "Summer" "July" 2014 "Free" "MIN" "Surface" 11113
"MINE1F914" "MINE1-914" 9447100.065 3360731.65 6086368.415 128602.8639 75525.09734 57472.63725 "Accuri" "Muskegon" "MINE1F914" "Fall" "September" 2014 "Free" "MIN" "Surface" 24505
"MINE1F715" "MINE1-715" 8596260.76 2913853.507 5682407.252 48192.01139 27024.52664 22211.62988 "Accuri" "Muskegon" "MINE1F715" "Summer" "July" 2015 "Free" "MIN" "Surface" 28108
"MINE2F515" "MINE2-515" 7217488.753 2803428.088 4414060.665 378974.444 489935.488 121864.6305 "Accuri" "Muskegon" "MINE2F515" "Spring" "May" 2015 "Free" "MIN" "Surface" 10934
"MINE2F915" "MINE2-915" 6647631.765 2312988.547 4334643.218 72824.50101 45523.62168 42871.52807 "Accuri" "Muskegon" "MINE2F915" "Fall" "September" 2015 "Free" "MIN" "Surface" 18084
"MINH1F514" "MUSINLH1-hypo-inlet-514" 5416344.337 3208599.181 2207745.156 76614.26329 26511.29562 59195.7771 "Accuri" "Muskegon" "MINH1F514" "Spring" "May" 2014 "Free" "MIN" "Deep" 37274
"MINH1F714" "MINH1-714" 8911216.513 3319397.042 5591819.471 117642.5419 19239.92066 104937.5505 "Accuri" "Muskegon" "MINH1F714" "Summer" "July" 2014 "Free" "MIN" "Deep" 30469
"MINH1F914" "MINH1-914" 8404619.652 2792948.857 5611670.795 301131.3053 155796.909 147726.692 "Accuri" "Muskegon" "MINH1F914" "Fall" "September" 2014 "Free" "MIN" "Deep" 26266
"MINH1F715" "MINH1-715" 8121097.624 2786736.502 5334361.121 347454.2191 116983.2246 232479.2132 "Accuri" "Muskegon" "MINH1F715" "Summer" "July" 2015 "Free" "MIN" "Deep" 23123
"MINH2F515" "MINH2-515" 6695260.868 2505861.798 4189399.069 94853.47212 23780.71705 74863.19197 "Accuri" "Muskegon" "MINH2F515" "Spring" "May" 2015 "Free" "MIN" "Deep" 13174
"MINH2F915" "MINH2-915" 6566333.665 2267897.202 4298436.463 69186.06138 31992.35652 39836.85504 "Accuri" "Muskegon" "MINH2F915" "Fall" "September" 2015 "Free" "MIN" "Deep" 21537
"MLBD2F115" "MLBD2-115-2" 6482022.854 1890290.748 4591732.107 89239.77051 22338.85241 69395.64857 "Accuri" "Muskegon" "MLBD2F115" "Winter" "Januari" 2015 "Free" "MLB" "Deep" 13795
"MLBD2F415" "MLBD2-415-2" 1797394.891 653692.3324 1143702.558 29844.39935 9185.359313 20664.06311 "Accuri" "Muskegon" "MLBD2F415" "Spring" "April" 2015 "Free" "MLB" "Deep" 4761
"MLBD2F515" "MLBD2-515-DMSO" 6467748.792 3173102.145 3294646.647 32456.26965 20687.66112 31336.91747 "Accuri" "Muskegon" "MLBD2F515" "Spring" "May" 2015 "Free" "MLB" "Deep" 13829
"MLBD2F715" "MLBD2-715-2" 5956478.687 1821746.766 4134731.92 106517.6617 53331.0452 57960.03281 "Accuri" "Muskegon" "MLBD2F715" "Summer" "July" 2015 "Free" "MLB" "Deep" 15481
"MLBD2F815" "MLBD2-815" 6064997.413 1512762.531 4552234.883 58618.18356 19066.87647 39589.09653 "Accuri" "Muskegon" "MLBD2F815" "Summer" "August" 2015 "Free" "MLB" "Deep" 9001
"MLBD2F915" "MLB-915-2" 8170354.898 2090056.767 6080298.131 179693.2682 62610.17547 130084.6144 "Accuri" "Muskegon" "MLBD2F915" "Fall" "September" 2015 "Free" "MLB" "Deep" 24069
"MLBS2F115" "MLBS2-115-2" 6389492.958 1830444.778 4559048.18 59495.73606 25931.34924 49635.76262 "Accuri" "Muskegon" "MLBS2F115" "Winter" "Januari" 2015 "Free" "MLB" "Surface" 11424
"MLBS2F515" "MLBS2-515-DMSO" 1216693.415 321517.2723 895176.1424 49536.33707 12213.42978 37805.31421 "Accuri" "Muskegon" "MLBS2F515" "Spring" "May" 2015 "Free" "MLB" "Surface" 9656
"MLBS2F715" "MLBS2-715-2" 10142174.19 3445974.731 6696199.461 159412.9541 92213.7058 72231.88882 "Accuri" "Muskegon" "MLBS2F715" "Summer" "July" 2015 "Free" "MLB" "Surface" 5490
"MLBS2F815" "MLBS2-815" 7529908.63 1993119.508 5536789.122 204830.9089 81780.53718 125863.6094 "Accuri" "Muskegon" "MLBS2F815" "Summer" "August" 2015 "Free" "MLB" "Surface" 11795
"MLBS2F915" "MLBS2-915-2" 9430611.393 2727215.881 6703395.513 335532.6351 151842.8875 186942.0122 "Accuri" "Muskegon" "MLBS2F915" "Fall" "September" 2015 "Free" "MLB" "Surface" 24533
"MOTE1F514" "MUSOUTE1-epi-outlet-514" 4581945.151 2396938.763 2185006.388 81917.60544 63998.62508 41870.87066 "Accuri" "Muskegon" "MOTE1F514" "Spring" "May" 2014 "Free" "MOT" "Surface" 41021
"MOTE1F714" "MOTE1-714" 10680409.05 3336428.292 7343980.758 88648.11552 34678.9324 53973.15993 "Accuri" "Muskegon" "MOTE1F714" "Summer" "July" 2014 "Free" "MOT" "Surface" 19631
"MOTE1F914" "MOTE1-914" 7020677.316 1981122.045 5039555.271 264490.42 107837.3466 157405.0115 "Accuri" "Muskegon" "MOTE1F914" "Fall" "September" 2014 "Free" "MOT" "Surface" 26863
"MOTE1F715" "MOTE1-715" 7446699.551 1692623.59 5754075.961 129623.6689 22077.82787 121118.6596 "Accuri" "Muskegon" "MOTE1F715" "Summer" "July" 2015 "Free" "MOT" "Surface" 22117
"MOTE2F515" "MOTE2-515" 6112362.087 2251853.71 3860508.377 51243.08533 37624.01909 15307.44674 "Accuri" "Muskegon" "MOTE2F515" "Spring" "May" 2015 "Free" "MOT" "Surface" 16615
"MOTE2F915" "MOTE2-915" 5694244.407 1401867.377 4292377.03 37342.01837 21237.27162 31341.13583 "Accuri" "Muskegon" "MOTE2F915" "Fall" "September" 2015 "Free" "MOT" "Surface" 20799
"MOTH1F714" "MOTH1-714" 4961204.52 1256146.4 3705058.12 135695.8361 40864.0981 96817.8741 "Accuri" "Muskegon" "MOTH1F714" "Summer" "July" 2014 "Free" "MOT" "Deep" 30110
"MOTH1F914" "MOTH1-914" 7050809.616 1979421.196 5071388.42 39531.72207 25550.83738 14298.714 "Accuri" "Muskegon" "MOTH1F914" "Fall" "September" 2014 "Free" "MOT" "Deep" 25154
"MOTH1F715" "MOTH1-715" 3892023.742 776630.043 3115393.699 49202.28605 14569.09978 34678.39291 "Accuri" "Muskegon" "MOTH1F715" "Summer" "July" 2015 "Free" "MOT" "Deep" 17107
"MOTH1F915" "MOTH-915" 5739777.743 1423389.477 4316388.267 85495.8437 36257.16463 64443.2639 "Accuri" "Muskegon" "MOTH1F915" "Fall" "September" 2015 "Free" "MOT" "Deep" 23304
"MOTH2F514" "MUSOUTH-hypo-outlet-514" 2495231.206 1090246.4 1404984.806 24546.7082 18706.108 8511.54267 "Accuri" "Muskegon" "MOTH2F514" "Spring" "May" 2014 "Free" "MOT" "Deep" 31614
"MOTH2F515" "MOTH2-515" 4166163.566 1406325.993 2759837.573 78433.77157 27878.6762 58133.28594 "Accuri" "Muskegon" "MOTH2F515" "Spring" "May" 2015 "Free" "MOT" "Deep" 22547
"Sp13.BD.MLB.SN.1" "Muskegon_April" 3676467.696 1882609.241 1793858.455 37197.23022 17203.51665 20139.01762 "Accuri" "Muskegon" "Sp13.BD.MLB.SN.1" "Spring" "April" 2013 "Free" "MLB" "Surface" 34970
"Su13.BD.MLB.DD.1" "MLB-D-D_July" 7578896.999 1894802.069 5684094.93 111101.8826 64951.66827 52537.74464 "Accuri" "Muskegon" "Su13.BD.MLB.DD.1" "Summer" "July" 2013 "Free" "MLB" "Deep" 34367
"Su13.BD.MLB.SD.1" "MLB40y-S-D_July" 13328624.8 4082957.132 9245667.665 277560.5158 132141.3781 150749.9014 "Accuri" "Muskegon" "Su13.BD.MLB.SD.1" "Summer" "July" 2013 "Free" "MLB" "Surface" 32968
