"Otu000004" "Otu000005" "Otu000009" "Otu000010" "Otu000012" "Otu000017" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000025" "Otu000041" "Otu000042" "Otu000046" "Otu000049" "Otu000056" "Otu000058" "Otu000070" "Otu000075" "Otu000082" "Otu000083" "Otu000094" "Otu000136" "Otu000152" "Otu000161" "Otu000179" "Otu000227" "Otu000246" "Otu000262" "Otu000267" "Otu000323" "Otu000330" "Otu000363" "Otu000377" "Otu000385" "Otu000387" "Otu000438" "Otu000450" "Otu000459" "Otu000499" "Otu000509" "Otu000644" "Otu000663" "Otu000682" "Otu000715" "Otu000717" "Otu000733" "Otu000810" "Otu000931" "Otu001059" "Otu001097" "Otu001104" "Otu001118" "Otu001130" "Otu001142" "Otu001264" "Otu001318" "Otu001319" "Otu001345" "Otu001451" "Otu001649" "Otu001672" "Otu001697" "Otu001799" "Otu001802" "Otu001854" "Otu002028" "Otu002030" "Otu002057" "Otu002215" "Otu002481" "Otu002498" "Otu003007" "Otu003297" "Otu003366" "Otu003707" "Otu003766" "Otu004400" "Otu004590" "Otu004647" "Otu004798" "Otu005431" "Otu005904" "Otu008988"
"MBRH2F515" 0.508336896109448 0.000427533133817871 0.029713552800342 0.178067550235143 0.0194527575887131 0.0342026507054297 0.079307396323215 0.016673792218897 0.0320649850363403 0.00769559640872168 0.0177426250534416 0.00213766566908935 0.00171013253527148 0.0211628901239846 0.000427533133817871 0 0.0134672937152629 0 0.00192389910218042 0 0.006626763574177 0.00235143223599829 0.00277896536981616 0.00641299700726806 0 0.000427533133817871 0 0.00277896536981616 0 0.00235143223599829 0.000427533133817871 0.00171013253527148 0 0 0 0 0 0 0.000213766566908935 0 0 0.00277896536981616 0 0 0.000213766566908935 0 0 0 0 0 0 0 0 0 0.000641299700726806 0.000641299700726806 0.000213766566908935 0 0.00106883283454468 0 0.000213766566908935 0.000213766566908935 0 0.00192389910218042 0.000427533133817871 0 0 0 0 0.000855066267635742 0 0 0 0 0 0 0 0 0 0.000213766566908935 0 0 0 0
"MBRH2F915" 0.376442924326635 0.00384779820436084 0.0410431808465156 0.114151346729372 0.0707567336468576 0.0168875587858059 0.0145361265498076 0.0418982471141513 0.0581445061992304 0.000427533133817871 0.00448909790508764 0.0179563916203506 0.0096194955109021 0.0117571611799914 0.0252244548952544 0 0.0510902094912356 0.000427533133817871 0.0344164172723386 0.00641299700726806 0.0141085934159897 0.00171013253527148 0.00235143223599829 0.0275758871312527 0.00213766566908935 0.00513039760581445 0 0.00748182984181274 0.000641299700726806 0.00171013253527148 0.0036340316374519 0.00555793073963232 0 0 0.00106883283454468 0 0 0 0.000427533133817871 0 0.00983326207781103 0.0102607952116289 0 0 0 0 0.000213766566908935 0 0.00106883283454468 0.000855066267635742 0 0 0 0 0 0.000427533133817871 0 0 0.000641299700726806 0 0 0 0 0.00171013253527148 0 0.000213766566908935 0.000213766566908935 0 0 0 0 0 0.000641299700726806 0 0 0 0 0 0 0 0 0 0.000213766566908935 0.000641299700726806
"MDPE1F514" 0.129970072680633 0.00128259940145361 0.026507054296708 0.217828131680205 0.0177426250534416 0.0906370243693886 0.12248824283882 0.0793073963232151 0.0386917486105173 0.0342026507054297 0.0619923044035913 0.00619923044035913 0.000427533133817871 0.0141085934159897 0.00192389910218042 0 0.0260795211628901 0 0.000213766566908935 0 0.0284309533988884 0.0510902094912356 0.00427533133817871 0.00769559640872168 0.000213766566908935 0.000427533133817871 0.000855066267635742 0.0123984608807183 0 0.000427533133817871 0.00320649850363403 0.00427533133817871 0 0.000213766566908935 0 0 0 0 0.000213766566908935 0 0.000855066267635742 0.00897819581017529 0 0 0 0 0 0.000213766566908935 0.000213766566908935 0 0 0 0 0 0.000641299700726806 0.000855066267635742 0 0 0 0 0 0.000427533133817871 0.000427533133817871 0.00277896536981616 0.000213766566908935 0.000427533133817871 0 0 0 0 0 0 0 0 0 0.000427533133817871 0 0 0 0.000213766566908935 0 0 0 0
"MDPE1F714" 0.175929884566054 0.142368533561351 0.0521590423257803 0.170158187259513 0.0378366823428816 0.0418982471141513 0.056434373663959 0.0294997862334331 0.0609234715690466 0.00256519880290723 0.0104745617785378 0.000641299700726806 0.0367678495083369 0.00577169730654126 0.0119709277469004 0 0.0171013253527148 0 0.00213766566908935 0.00491663103890552 0.00790936297563061 0.00171013253527148 0.00128259940145361 0.0179563916203506 0.00171013253527148 0.00897819581017529 0.00106883283454468 0.0705429670799487 0.00106883283454468 0.000427533133817871 0.00213766566908935 0.0171013253527148 0 0.000213766566908935 0.000427533133817871 0.000213766566908935 0 0 0 0 0.00149636596836255 0.00128259940145361 0 0.00213766566908935 0.00171013253527148 0 0.000213766566908935 0 0 0.000213766566908935 0 0 0 0 0 0 0 0.000213766566908935 0 0.000213766566908935 0 0 0 0.000213766566908935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MDPE1F914" 0.30718255664814 0.06626763574177 0.0416844805472424 0.150705429670799 0.0188114578879863 0.0816588285592133 0.0348439504061565 0.0485250106883283 0.0380504489097905 0.00192389910218042 0.0294997862334331 0.00256519880290723 0.00726806327490381 0.00619923044035913 0.0451047456177854 0 0.0130397605814451 0.000213766566908935 0.0036340316374519 0.0273621205643437 0.00748182984181274 0.00213766566908935 0.00149636596836255 0.0160324925181702 0.00277896536981616 0.00235143223599829 0.00149636596836255 0.00534416417272339 0.000855066267635742 0.000855066267635742 0.00171013253527148 0.0156049593843523 0 0.000855066267635742 0.00171013253527148 0 0 0 0 0 0.000641299700726806 0.0096194955109021 0 0.000213766566908935 0 0 0 0.00128259940145361 0.00106883283454468 0.000213766566908935 0 0 0 0 0.000641299700726806 0.000213766566908935 0 0 0 0.000213766566908935 0.000213766566908935 0 0 0 0 0 0 0 0 0 0 0.000427533133817871 0 0 0 0 0 0 0 0 0 0 0 0
"MDPE1F715" 0.483112441214194 0.039760581445062 0.0348439504061565 0.0902094912355708 0.0451047456177854 0.0367678495083369 0.0425395468148781 0.016460025651988 0.0352714835399743 0.0117571611799914 0.0188114578879863 0.00128259940145361 0.00726806327490381 0.023086789226165 0.036340316374519 0 0.00790936297563061 0.00149636596836255 0.0115433946130825 0.00790936297563061 0.00491663103890552 0.00235143223599829 0.000641299700726806 0.00919196237708422 0.00106883283454468 0.00513039760581445 0.000213766566908935 0.00684053014108593 0.00106883283454468 0.000213766566908935 0.00427533133817871 0.00342026507054297 0 0.00106883283454468 0.000213766566908935 0 0 0 0 0 0.00106883283454468 0.00320649850363403 0 0.00128259940145361 0 0 0 0 0.000213766566908935 0 0 0 0 0 0 0 0 0 0 0.000427533133817871 0 0 0 0.00106883283454468 0 0.000213766566908935 0 0 0 0 0.000213766566908935 0 0 0 0 0 0 0 0 0 0.000213766566908935 0 0 0
"MDPE2F515" 0.457032920051304 0.000427533133817871 0.0324925181701582 0.189183411714408 0.0327062847370671 0.0483112441214194 0.0848653270628474 0.026507054296708 0.0256519880290723 0.00855066267635742 0.0143223599828987 0.00213766566908935 0.00213766566908935 0.0158187259512612 0 0 0.0205215904232578 0 0.00171013253527148 0 0.01004702864472 0.00342026507054297 0.00235143223599829 0.00470286447199658 0 0 0.000641299700726806 0.00855066267635742 0 0 0.000641299700726806 0.00213766566908935 0 0.000213766566908935 0 0.000213766566908935 0 0 0 0 0 0.00149636596836255 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000213766566908935 0 0 0 0 0.000213766566908935 0.000213766566908935 0 0.00213766566908935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000427533133817871 0 0 0 0
"MDPE2F915" 0.338820008550663 0.0207353569901667 0.0421120136810603 0.109448482257375 0.0374091492090637 0.0374091492090637 0.0250106883283454 0.0256519880290723 0.0414707139803335 0.0029927319367251 0.0205215904232578 0.0399743480119709 0.0168875587858059 0.0461735784523301 0.0457460453185122 0 0.0173150919196238 0.000213766566908935 0.00577169730654126 0.0292860196665242 0.0250106883283454 0.00213766566908935 0.00384779820436084 0.029713552800342 0.00406156477126977 0.00342026507054297 0.000213766566908935 0.00769559640872168 0.00213766566908935 0.00106883283454468 0.00513039760581445 0.0029927319367251 0 0 0.00256519880290723 0 0 0 0 0 0.00213766566908935 0.00128259940145361 0 0 0 0 0.000427533133817871 0.000641299700726806 0.00106883283454468 0 0 0 0.000213766566908935 0 0 0.000213766566908935 0 0 0.000213766566908935 0.000213766566908935 0 0 0 0.000641299700726806 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"MDPH1F714" 0.217400598546387 0.00406156477126977 0.0288584865327063 0.228516460025652 0.105173150919196 0.0391192817443352 0.0391192817443352 0.0598546387345019 0.0532278751603249 0.00128259940145361 0.00769559640872168 0.000641299700726806 0.0096194955109021 0.0179563916203506 0.0213766566908935 0.000641299700726806 0.0448909790508764 0 0.00555793073963232 0.00213766566908935 0.0109020949123557 0.00277896536981616 0.00256519880290723 0.0156049593843523 0.00577169730654126 0.00277896536981616 0.00277896536981616 0.0158187259512612 0.000855066267635742 0.00427533133817871 0.00342026507054297 0.00641299700726806 0 0 0.00213766566908935 0.000213766566908935 0.000427533133817871 0 0 0 0.0222317229585293 0.00619923044035913 0.000213766566908935 0 0.00106883283454468 0 0 0.000213766566908935 0 0 0.000213766566908935 0 0.000213766566908935 0 0 0.000641299700726806 0.000213766566908935 0 0.00149636596836255 0.000641299700726806 0 0.000427533133817871 0 0.000641299700726806 0 0 0 0 0.000427533133817871 0.000213766566908935 0 0 0 0 0 0 0 0.000641299700726806 0 0.000213766566908935 0 0.000213766566908935 0 0
"MDPH1F914" 0.149636596836255 0.00192389910218042 0.0348439504061565 0.209918768704575 0.114151346729372 0.0188114578879863 0.0384779820436084 0.0887131252672082 0.0453185121846943 0.00342026507054297 0.00769559640872168 0.000855066267635742 0.00470286447199658 0.0162462590850791 0.0228730226592561 0.000213766566908935 0.0536554082941428 0 0.00684053014108593 0.0111158614792646 0.00577169730654126 0.000427533133817871 0.0036340316374519 0.0228730226592561 0.00534416417272339 0.00277896536981616 0.00106883283454468 0.0215904232578025 0.00149636596836255 0.0196665241556221 0.00128259940145361 0.0280034202650705 0 0 0.00128259940145361 0 0.000427533133817871 0.000213766566908935 0.000213766566908935 0 0.0143223599828987 0.00812312954253955 0.000855066267635742 0 0 0.000641299700726806 0.000213766566908935 0.000213766566908935 0.00128259940145361 0.000213766566908935 0.000213766566908935 0.000213766566908935 0.00128259940145361 0 0.000427533133817871 0.00919196237708422 0.00171013253527148 0.000213766566908935 0.00577169730654126 0.000427533133817871 0.00149636596836255 0 0 0.00577169730654126 0 0.000213766566908935 0.000855066267635742 0 0.000213766566908935 0 0 0 0 0 0 0 0 0.000213766566908935 0 0.000427533133817871 0 0 0 0
